ID_2007,SN_2007,weekly_avg_hrs_cat_3901_07,weekly_avg_hrs_cat_3902_07,weekly_avg_hrs_cat_3903_07,weekly_avg_hrs_cat_3904_07,weekly_avg_hrs_cat_3905_07,weekly_avg_hrs_cat_3906_07,weekly_avg_hrs_cat_3907_07,weekly_avg_hrs_cat_3908_07,weekly_avg_hrs_cat_3909_07,weekly_avg_hrs_cat_3910_07,weekly_avg_hrs_cat_3911_07,weekly_avg_hrs_cat_3912_07,weekly_avg_hrs_cat_3913_07,weekly_avg_hrs_cat_3914_07,weekly_avg_hrs_cat_3915_07,weekly_avg_hrs_cat_3916_07,weekly_avg_hrs_cat_3917_07,weekly_avg_hrs_cat_3918_07,weekly_avg_hrs_cat_3919_07,weekly_avg_hrs_cat_3920_07,weekly_avg_hrs_cat_3921_07,weekly_avg_hrs_cat_3922_07,weekly_avg_hrs_cat_3923_07,weekly_avg_hrs_cat_3924_07,weekly_avg_hrs_cat_3925_07,weekly_avg_hrs_cat_3926_07,weekly_avg_hrs_cat_3927_07,weekly_avg_hrs_cat_3928_07,weekly_avg_hrs_cat_3929_07,weekly_avg_hrs_cat_3930_07,weekly_avg_hrs_cat_3931_07,weekly_avg_hrs_cat_3932_07,weekly_avg_hrs_cat_3933_07,weekly_avg_hrs_cat_3934_07,weekly_avg_hrs_cat_3935_07,weekly_avg_hrs_cat_3936_07,weekly_avg_hrs_cat_3937_07,weekly_avg_hrs_cat_3938_07,weekly_avg_hrs_cat_3939_07,parent_interactive_skill_hrs_wk_07
940,4,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,77.1,0.0,0.0,0.0,40.416666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.583333333333334,20.233333333333334,0.0,1.0
7955,4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.0,77.16666666666667,0.0,2.0833333333333335,12.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667,16.583333333333332,0.0,0.0
2831,2,0.0,2.9166666666666665,0.0,0.0,0.0,0.0,2.9166666666666665,7.133333333333334,69.0,0.0,0.0,0.0,43.75,2.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.53333333333333,0.0,2.0
5288,2,0.0,2.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,72.73333333333333,0.0,0.0,0.9666666666666667,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,29.716666666666665,3.3333333333333335,0.0
1214,3,0.0,9.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,62.68333333333333,0.0,0.0,8.583333333333334,43.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,17.166666666666668,0.0,0.0
2199,3,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,79.25,0.0,0.08333333333333333,11.166666666666666,44.083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,3.933333333333333,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,12.65,0.0,4.583333333333333
732,3,0.0,2.4166666666666665,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,88.08333333333333,0.0,1.1666666666666667,0.0,36.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.583333333333333,21.666666666666668,0.0,0.0
1528,3,24.166666666666668,3.75,0.0,1.6666666666666667,0.0,0.0,3.7333333333333334,3.6666666666666665,73.43333333333334,0.0,1.3333333333333333,4.583333333333333,11.25,0.0,5.766666666666667,12.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,15.15,0.5,1.5
3357,4,0.0,5.05,0.7666666666666667,0.0,0.5833333333333334,0.0,3.3666666666666667,0.5666666666666667,81.13333333333334,0.0,1.6666666666666667,4.5,32.0,0.0,0.0,7.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,10.566666666666666,16.383333333333333,1.5833333333333333,0.0
2180,3,0.0,1.8333333333333333,0.0,0.16666666666666666,0.0,0.0,3.8,0.13333333333333333,91.4,0.0,0.3333333333333333,0.0,36.583333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.566666666666666,4.433333333333334,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.083333333333333,7.683333333333334,10.983333333333333,0.0,0.0
