TD07M01,TD07M02,TD07M03,TD07M04,TD07M05,TD07M06,TD07M07,TD07M08,TD07M09,TD07M10,TD07M12,TD07M13,TD07M14,TD07M15,TD07M16,TD07M17
1,759,3,0,32400,36000,9190,3600,9,9,99,9,9,9,9,9
1,1322,3,1,81000,82800,9190,1800,9,9,99,9,9,9,9,9
1,1942,3,1,25800,26700,9190,900,9,9,99,9,9,9,9,9
1,2032,4,0,84000,86400,9190,2400,9,9,99,9,9,9,9,9
1,2831,2,1,57600,61200,9190,3600,9,9,99,9,9,9,9,9
1,2882,4,1,62100,64800,9190,2700,9,9,99,9,9,9,9,9
1,3804,3,1,72000,75600,9190,3600,9,9,99,9,9,9,9,9
1,4395,3,1,68400,73800,9190,5400,9,9,99,9,9,9,9,9
1,4953,4,1,63000,68400,9190,5400,9,9,99,9,9,9,9,9
1,5204,5,1,63000,64800,9190,1800,9,9,99,9,9,9,9,9
1,5261,3,1,43200,54000,9190,10800,9,9,99,9,9,9,9,9
1,5316,2,1,57420,61980,9190,4560,9,9,99,9,9,9,9,9
1,5316,2,1,61980,66540,9190,4560,9,9,99,9,9,9,9,9
1,5855,3,1,57900,60000,9190,2100,9,9,99,9,9,9,9,9
1,7631,3,1,79200,81000,9190,1800,9,9,99,9,9,9,9,9
1,8165,3,0,43200,45000,9190,1800,9,9,99,9,9,9,9,9
1,6212,3,0,47400,53400,9190,6000,1,3,12,1,1,1,5,1
1,3597,4,0,42300,47580,9190,5280,8,8,98,8,8,8,8,8
1,2053,4,1,61980,71040,9190,9060,1,2,10,2,1,1,1,1
1,7261,3,0,75600,77400,9190,1800,1,3,9,2,1,1,2,1
1,7645,2,0,68400,75600,9190,7200,2,1,12,2,3,3,4,1
1,150,3,1,64860,72000,9190,7140,1,3,15,1,1,1,1,1
1,543,3,0,36000,41400,9190,5400,1,3,15,1,1,1,1,1
1,566,5,0,30180,34200,9190,4020,1,3,15,1,1,1,1,1
1,993,2,1,57960,66600,9190,8640,1,3,15,1,1,1,1,1
1,1052,3,1,73200,75600,9190,2400,1,3,15,1,1,1,1,1
1,1327,3,0,74400,76800,9190,2400,1,3,15,1,1,1,1,1
1,1785,2,1,63000,66600,9190,3600,1,3,15,1,1,1,1,1
1,2067,3,1,55200,56700,9190,1500,1,3,15,1,1,1,1,1
1,2102,2,1,66600,70200,9190,3600,1,3,15,1,1,1,1,1
1,2170,3,1,74100,77400,9190,3300,1,3,15,1,1,1,1,1
1,2688,4,0,44400,46800,9190,2400,1,3,15,1,1,1,1,1
1,2916,3,1,61200,63000,9190,1800,1,3,15,1,1,1,1,1
1,3654,2,1,64800,75600,9190,10800,1,3,15,1,1,1,1,1
1,4101,2,1,63300,63600,9190,300,1,3,15,1,1,1,1,1
1,4263,2,1,63000,66600,9190,3600,1,3,15,1,1,1,1,1
1,4487,2,0,34200,36900,9190,2700,1,3,15,1,1,1,1,1
1,4487,2,0,36900,39600,9190,2700,1,3,15,1,1,1,1,1
1,4848,2,0,57600,59400,9190,1800,1,3,15,1,1,1,1,1
1,4944,3,0,54000,59400,9190,5400,1,3,15,1,1,1,1,1
1,4944,3,1,55800,60300,9190,4500,1,3,15,1,1,1,1,1
1,5205,3,1,63000,64800,9190,1800,1,3,15,1,1,1,1,1
1,5889,4,1,64800,67500,9190,2700,1,3,15,1,1,1,1,1
1,5889,4,1,67500,70200,9190,2700,1,3,15,1,1,1,1,1
1,6029,2,1,63000,65400,9190,2400,1,3,15,1,1,1,1,1
1,6381,2,1,57600,64800,9190,7200,1,3,15,1,1,1,1,1
1,7226,3,1,45900,46080,9190,180,1,3,15,1,1,1,1,1
1,7301,3,1,27300,27900,9190,600,1,3,15,1,1,1,1,1
1,7598,3,1,80400,81600,9190,1200,1,3,15,1,1,1,1,1
1,7795,4,1,69000,70200,9190,1200,1,3,15,1,1,1,1,1
1,5358,3,1,64800,72000,9190,7200,1,3,13,1,4,1,5,1
1,5358,4,1,70200,75600,9190,5400,1,3,13,1,4,1,5,1
1,2603,3,0,61500,73800,9190,12300,1,3,13,1,4,1,5,1
1,788,3,0,67500,71580,9190,4080,1,4,12,1,2,1,5,1
1,788,3,0,71580,75600,9190,4020,1,4,12,1,2,1,5,1
1,4347,4,1,70200,74700,9190,4500,1,3,12,1,1,1,5,1
