OCHREL07,OCHID07,OCHSN07,Q35A1A,Q35A1B,Q35A1C,Q35A1D,Q35A1E,Q35A1F,Q35A1G,Q35A1H,Q35A1I,Q35A1J,Q35A1K,Q35A1L,Q35A1M,Q35A1N,Q35A2A,Q35A2B,Q35A2C,Q35A2D,Q35A2E,Q35A2F,Q35A2G,Q35A3,Q35A4,Q35A51,Q35A52,Q35A53,Q35A6,Q35A7,Q35A8A,Q35A8A1,Q35A8B,Q35A8B1,Q35A8C,Q35A8C1,Q35A8D,Q35A8D1,Q35A8E,Q35A8E1,Q35A8F,Q35A8F1,Q35A8G,Q35A8G1,Q35A9A,Q35A9B,Q35A9C,Q35A9D,Q35A10,Q35A11,Q35A11A1,Q35A11A2,Q35A11B1,Q35A11B2,Q35A12,Q35A13,Q35A141,Q35A142,Q35A143
1,7031,5,1,1,4,2,3,1,1,3,3,2,3,2,2,2,5,2,3,3,3,3,5,5,2,16,0,0,4,4,5,0,1,4,5,0,5,0,1,5,5,0,1,4,2,1,2,4,1,1,2,3,12,3,7,6,4,0,0
1,5098,3,1,1,3,1,4,2,2,2,3,1,1,2,2,4,4,2,4,3,3,3,5,3,3,12,0,0,3,2,1,3,1,4,1,4,1,3,5,0,5,0,1,3,1,3,2,3,2,5,0,0,0,0,6,7,13,16,0
1,546,3,1,3,3,3,5,2,1,4,3,1,3,2,2,4,5,4,5,3,4,2,5,5,3,16,0,0,3,3,1,4,1,5,1,4,1,3,1,3,1,5,1,5,2,4,2,4,2,1,4,3,10,3,6,5,4,0,0
1,3468,3,3,3,2,2,4,3,2,3,3,2,3,3,2,2,5,3,4,4,2,4,5,4,1,0,0,0,3,4,5,0,1,5,1,5,5,0,5,0,1,5,1,4,1,5,2,3,2,1,6,3,11,3,6,2,1,0,0
1,1347,3,1,1,2,2,4,1,1,3,1,2,3,2,2,1,4,3,3,4,4,3,4,4,3,3,0,0,4,3,1,4,1,4,1,5,5,0,1,4,1,4,1,4,1,1,2,4,2,1,5,3,13,3,6,2,3,0,0
1,1347,4,2,2,3,1,4,2,1,4,1,1,2,2,2,2,4,3,4,3,3,3,4,4,5,3,0,0,4,3,1,4,1,4,1,5,5,0,1,5,1,4,1,4,1,1,2,4,2,1,5,3,11,3,6,6,95,0,0
1,5293,3,1,2,3,1,5,5,1,2,3,1,2,4,2,2,5,4,5,5,4,5,5,6,6,99,0,0,2,1,1,4,1,4,1,4,1,3,1,5,1,5,1,5,3,4,4,4,2,5,0,0,0,0,7,5,95,0,0
1,5293,4,1,1,2,1,4,3,1,3,1,1,4,5,3,4,5,4,5,4,3,4,5,6,5,16,1,17,2,1,1,5,1,5,1,5,1,3,1,5,1,5,1,5,4,4,5,4,4,5,0,0,0,0,7,6,1,0,0
1,117,4,2,2,3,2,4,3,1,2,3,2,2,2,1,1,3,3,3,2,2,4,4,3,1,0,0,0,4,4,5,0,5,0,1,4,5,0,5,0,5,0,5,0,1,4,2,2,2,1,7,3,10,1,6,5,10,0,0
1,2888,2,1,1,1,1,3,1,1,4,1,1,1,1,1,2,4,1,4,4,1,4,3,1,4,1,0,0,2,2,5,0,1,2,1,5,5,0,5,0,5,0,5,0,5,1,1,5,2,5,0,0,0,0,6,6,1,9,0
1,2888,3,2,2,1,1,2,1,1,1,1,1,1,1,1,2,4,2,2,4,1,4,4,1,4,1,0,0,2,3,5,0,1,5,1,5,5,0,5,0,5,0,1,5,5,1,2,5,2,5,0,0,0,0,6,6,1,9,0
1,1562,2,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,0,0,2,2,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,1,2,1,5,0,0,0,0,3,2,98,0,0
1,915,3,2,3,3,3,3,3,3,4,2,2,3,4,2,3,5,3,4,4,4,4,5,3,2,12,3,0,2,4,1,3,1,4,1,4,1,4,1,5,1,3,1,4,3,4,4,4,2,1,5,3,13,3,7,6,4,0,0
1,915,4,2,3,2,2,4,3,2,4,2,2,2,4,2,2,5,3,2,3,4,2,5,3,2,3,6,0,4,2,1,4,1,4,1,4,1,4,1,5,1,4,1,4,2,4,4,4,2,1,5,3,11,3,7,6,4,0,0
1,2886,3,1,1,2,1,3,2,1,2,1,1,2,2,1,3,5,3,4,3,4,4,5,3,2,9,0,0,4,4,5,0,5,0,1,4,5,0,5,0,1,4,5,0,4,4,1,2,3,1,2,3,4,3,6,6,5,0,0
1,3408,3,1,1,3,1,3,3,3,3,1,1,3,4,1,3,5,4,4,3,3,4,5,5,3,7,0,0,5,4,5,0,1,4,1,4,5,0,1,5,5,0,1,4,3,2,2,4,1,1,4,3,4,3,8,6,4,0,0
1,2214,4,2,2,2,1,2,2,1,2,4,1,3,5,1,2,5,2,3,2,4,5,5,3,6,3,20,0,4,4,1,4,1,4,1,5,1,4,5,0,1,3,5,0,1,1,5,4,2,5,0,0,0,0,6,6,4,5,0
1,2967,3,1,2,2,1,2,1,1,1,2,1,1,4,1,2,2,2,2,3,3,2,4,1,1,0,0,0,5,3,5,0,5,0,5,0,5,0,5,0,1,3,1,4,3,5,5,5,2,1,2,3,14,3,6,5,17,0,0
1,2967,4,1,1,1,1,2,2,1,1,1,2,4,2,1,1,2,2,2,2,3,3,5,1,1,0,0,0,5,3,5,0,5,0,1,4,5,0,5,0,5,0,5,0,3,5,3,3,1,1,2,3,14,3,6,6,4,0,0
1,1621,4,2,2,5,1,5,3,2,4,1,1,3,3,2,1,5,3,3,4,2,1,3,1,1,0,0,0,4,3,5,0,1,5,1,5,5,0,5,0,1,4,1,5,1,1,4,4,2,1,9,3,9,3,6,2,98,0,0
1,4537,4,1,1,3,1,4,2,1,2,1,2,2,2,1,2,4,4,4,2,4,2,5,4,1,0,0,0,2,3,5,0,5,0,1,4,5,0,5,0,5,0,1,3,2,4,2,3,2,1,1,3,13,3,6,2,4,3,0
1,1472,3,1,1,1,1,4,1,1,1,2,2,1,1,1,1,2,1,4,2,1,4,5,4,1,0,0,0,3,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,1,1,1,1,1,5,0,0,0,0,3,3,19,0,0
1,1472,4,1,1,1,1,4,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,4,1,0,0,0,3,4,5,0,5,0,1,1,5,0,5,0,5,0,5,0,1,1,1,2,1,5,0,0,0,0,6,6,4,0,0
1,1276,3,1,1,2,1,4,1,1,3,1,1,1,1,1,1,1,3,4,3,3,2,4,4,1,0,0,0,4,2,5,0,1,4,1,4,5,0,5,0,5,0,5,0,1,1,2,2,2,1,98,8,98,8,6,6,95,0,0
1,5265,3,1,1,2,1,2,1,1,1,1,1,1,1,1,3,3,2,4,2,2,4,5,4,1,0,0,0,1,3,1,6,5,0,1,4,1,4,1,6,1,6,1,6,2,5,1,1,1,5,0,0,0,0,8,8,1,0,0
1,5265,4,1,2,2,1,2,2,2,2,2,1,1,3,1,3,4,3,4,4,1,5,5,4,1,0,0,0,1,3,1,4,1,5,1,5,1,5,1,5,1,4,1,5,2,4,2,5,1,5,0,0,0,0,8,8,1,0,0
1,3002,3,1,1,1,1,5,1,1,1,1,1,3,1,1,3,5,4,5,5,5,5,5,3,1,0,0,0,2,4,5,0,1,6,1,8,5,0,1,6,5,0,1,2,4,1,1,2,1,1,2,3,3,3,7,6,1,0,0
1,1868,3,1,2,2,2,3,1,2,2,2,2,3,1,1,1,3,3,4,3,3,2,5,1,1,0,0,0,4,4,1,5,1,5,1,5,1,5,5,0,5,0,5,0,1,5,1,3,1,5,0,0,0,0,6,6,95,0,0
1,1868,4,1,1,2,2,4,1,1,2,2,1,3,1,1,1,3,1,2,3,3,2,2,1,1,0,0,0,3,4,1,5,1,4,1,6,5,0,5,0,1,6,1,6,1,1,1,3,2,1,4,3,7,3,6,6,15,0,0
1,4460,3,2,3,2,1,4,4,2,3,1,1,3,1,4,3,3,4,5,4,4,4,5,3,5,3,0,0,4,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,1,1,2,1,1,5,0,0,0,0,8,7,17,13,0
1,4066,5,1,1,2,1,2,1,1,4,1,1,3,4,2,3,5,4,4,4,3,3,5,2,5,3,0,0,4,4,1,4,1,3,1,5,1,4,1,5,1,3,1,5,2,5,4,4,1,1,2,3,4,3,6,6,4,0,0
1,1168,3,1,1,2,1,3,1,2,1,1,1,1,2,1,1,3,2,2,2,4,2,3,1,1,0,0,0,2,4,5,0,1,5,1,3,5,0,1,5,1,4,1,4,5,1,2,2,2,1,5,3,12,3,6,4,4,0,0
