OCHREL07,OCHID07,OCHSN07,Q35A1A,Q35A1B,Q35A1C,Q35A1D,Q35A1E,Q35A1F,Q35A1G,Q35A1H,Q35A1I,Q35A1J,Q35A1K,Q35A1L,Q35A1M,Q35A1N,Q35A2A,Q35A2B,Q35A2C,Q35A2D,Q35A2E,Q35A2F,Q35A2G,Q35A3,Q35A4,Q35A51,Q35A52,Q35A53,Q35A6,Q35A7,Q35A8A,Q35A8A1,Q35A8B,Q35A8B1,Q35A8C,Q35A8C1,Q35A8D,Q35A8D1,Q35A8E,Q35A8E1,Q35A8F,Q35A8F1,Q35A8G,Q35A8G1,Q35A9A,Q35A9B,Q35A9C,Q35A9D,Q35A10,Q35A11,Q35A11A1,Q35A11A2,Q35A11B1,Q35A11B2,Q35A12,Q35A13,Q35A141,Q35A142,Q35A143
1,3839,3,2,1,3,2,3,1,1,2,1,1,1,1,1,1,5,2,2,3,2,2,4,4,1,0,0,0,4,4,1,3,1,5,1,4,1,3,5,0,5,0,5,0,1,2,1,2,1,1,2,3,10,3,6,2,1,0,0
1,2431,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,0,0,0,4,2,5,0,5,0,5,0,5,0,5,0,1,2,5,0,4,1,1,2,2,1,7,3,7,3,6,6,13,0,0
1,6857,3,2,4,3,1,3,2,1,3,3,1,2,2,2,3,5,2,1,2,2,3,4,2,1,0,0,0,3,3,5,0,1,4,1,4,5,0,1,4,1,4,1,4,2,5,2,2,2,1,4,3,8,3,7,6,17,14,0
1,123,3,1,1,3,3,2,1,1,2,1,1,1,2,3,2,5,3,5,8,3,2,5,1,1,0,0,0,2,4,5,0,1,5,1,4,5,0,1,5,5,0,1,5,8,1,2,3,1,5,0,0,0,0,98,5,1,4,0
1,2651,3,1,1,3,1,5,2,2,2,1,2,3,5,4,3,5,4,3,5,4,3,4,3,4,3,20,21,4,4,1,5,1,4,1,4,1,5,1,5,1,4,1,3,2,4,5,5,2,1,6,3,10,3,6,5,1,3,0
1,3122,3,3,1,3,2,2,4,1,2,3,2,2,2,3,2,5,2,4,4,2,3,5,2,1,0,0,0,2,3,5,0,1,4,1,4,5,0,1,4,1,3,5,0,5,2,4,5,2,1,3,3,9,3,5,5,1,4,0
1,8143,3,2,2,3,2,4,4,2,3,3,1,3,4,4,4,5,4,4,4,5,4,5,4,3,8,3,0,3,4,5,0,5,0,5,0,5,0,5,0,5,0,5,0,4,4,5,2,1,1,5,3,10,3,6,2,11,21,0
1,1233,3,1,1,1,1,5,1,1,1,1,1,1,2,1,2,3,1,1,2,1,1,5,1,1,0,0,0,5,4,5,0,1,5,1,5,5,0,1,5,5,0,1,5,1,3,3,3,2,1,2,3,4,3,6,6,4,0,0
1,758,3,2,1,3,2,5,3,2,1,3,1,5,2,2,3,5,2,4,3,4,4,5,1,2,14,0,0,3,4,5,0,5,0,1,4,1,4,1,4,5,0,1,3,4,3,5,4,2,1,4,3,7,3,8,6,1,0,0
1,614,3,1,1,3,1,4,2,1,4,1,1,1,2,1,2,5,4,3,3,3,2,5,1,6,3,8,0,4,4,5,0,5,0,1,4,5,0,5,0,5,0,5,0,2,1,2,1,1,1,2,3,5,3,8,8,95,0,0
1,614,4,1,1,3,1,3,3,1,1,1,1,1,1,1,2,5,3,2,3,2,2,5,1,6,15,0,0,4,3,5,0,5,0,1,4,5,0,5,0,1,3,5,0,2,1,2,2,1,1,2,3,5,3,6,6,95,0,0
1,1850,3,3,5,2,2,5,3,1,2,4,1,1,4,2,3,5,4,4,4,4,3,5,2,1,0,0,0,5,4,5,0,1,5,1,5,1,5,5,0,1,5,1,5,1,4,4,4,2,1,4,3,11,3,7,7,1,9,13
1,1055,3,2,1,2,2,2,1,1,2,2,2,1,3,1,1,2,3,3,2,3,5,5,3,3,3,0,0,3,3,5,0,1,4,1,4,1,4,5,0,5,0,5,0,4,2,2,2,2,1,1,3,11,3,7,6,4,0,0
1,1055,4,2,1,3,2,2,3,1,4,4,2,2,4,1,2,4,4,5,3,2,3,5,3,5,3,0,0,3,3,5,0,1,4,1,4,1,4,1,4,1,4,1,4,4,2,4,3,2,1,1,3,10,3,6,5,4,0,0
1,1114,3,1,2,4,3,5,2,1,2,2,2,1,2,1,3,2,2,2,3,3,4,4,5,3,3,0,0,4,3,1,4,1,4,1,4,1,3,1,5,1,4,1,3,4,2,3,4,3,1,4,3,12,3,6,5,4,0,0
1,3023,3,1,1,1,1,2,1,1,2,1,1,1,4,2,1,5,2,2,4,2,2,2,5,2,16,0,0,5,4,5,0,5,0,1,5,1,2,5,0,5,0,1,5,1,1,5,1,1,1,1,3,12,3,6,6,17,0,0
1,3023,4,2,2,1,1,2,1,1,2,1,1,1,4,2,1,5,2,2,4,2,2,5,6,2,3,16,0,5,4,5,0,5,0,5,0,5,0,5,0,5,0,5,0,1,1,5,1,1,1,1,3,10,3,6,6,17,0,0
1,2061,4,1,1,2,1,4,2,1,1,2,1,1,3,1,2,4,2,3,3,2,3,5,3,1,0,0,0,4,4,5,0,5,0,1,3,5,0,5,0,5,0,5,0,4,5,1,2,2,5,0,0,0,0,6,6,4,0,0
1,485,3,1,4,2,2,4,4,1,2,4,1,2,4,2,3,4,4,4,4,3,2,5,3,1,0,0,0,4,4,5,0,1,4,1,4,5,0,1,4,1,4,1,4,4,1,4,2,2,1,6,3,10,3,6,6,1,3,2
1,6950,4,4,2,4,1,4,2,2,2,4,2,1,3,3,4,5,3,4,4,3,3,4,2,1,0,0,0,4,3,1,3,1,4,1,5,1,5,1,5,1,4,1,4,2,1,2,3,2,1,2,3,6,3,6,6,15,0,0
1,2581,3,1,2,1,2,3,3,1,1,2,2,2,2,3,1,4,3,2,3,3,4,5,1,3,8,0,0,3,4,5,0,5,0,1,2,5,0,5,0,5,0,5,0,3,1,2,2,2,5,0,0,0,0,6,6,4,0,0
1,1096,3,1,1,3,1,1,2,1,4,1,1,2,1,3,2,3,4,1,2,1,2,4,1,6,3,0,0,4,4,5,0,5,0,1,4,5,0,5,0,1,5,1,5,2,4,1,1,1,5,0,0,0,0,8,6,17,0,0
1,4961,3,2,2,4,1,4,4,2,4,3,1,4,4,1,2,5,3,3,3,4,3,4,3,5,3,10,7,4,3,1,3,1,4,1,5,1,4,1,4,1,4,1,5,4,5,2,4,2,1,7,3,10,3,6,6,4,0,0
1,3971,3,1,1,3,1,5,1,1,1,1,2,2,2,2,3,3,3,4,3,4,3,5,2,1,0,0,0,2,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,1,1,2,2,2,5,0,0,0,0,7,7,18,0,0
1,2795,3,1,2,3,1,5,5,1,1,1,1,1,1,1,1,4,2,4,4,4,4,5,1,1,0,0,0,2,4,5,0,5,0,5,0,5,0,1,5,1,5,5,0,4,1,1,2,1,5,0,0,0,0,6,5,1,0,0
1,1938,4,1,3,3,3,4,3,1,1,2,1,1,1,2,1,3,1,3,4,2,1,5,1,1,0,0,0,2,3,5,0,1,3,1,5,1,4,1,5,1,3,5,0,3,1,1,3,2,1,3,3,9,3,6,6,1,0,0
1,1938,5,1,2,4,3,3,4,1,1,2,1,1,1,2,1,4,1,4,4,2,1,5,1,1,0,0,0,2,3,5,0,1,3,1,5,1,3,1,5,1,4,1,5,2,1,1,3,2,1,3,3,10,3,6,6,1,0,0
1,1883,4,1,1,4,2,4,2,1,4,2,2,2,2,1,1,3,4,4,4,3,4,5,2,6,3,0,0,5,4,5,0,5,0,1,4,1,4,1,4,5,0,1,4,4,1,1,4,1,5,0,0,0,0,5,5,98,0,0
1,4036,3,1,1,4,1,4,4,2,1,1,1,1,3,3,3,5,4,5,4,4,1,5,3,1,0,0,0,2,4,5,0,5,0,1,4,5,0,5,0,5,0,1,4,4,4,4,3,1,5,0,0,0,0,6,5,11,0,0
1,3454,3,2,2,1,1,4,2,1,4,2,1,2,1,1,3,4,4,4,3,3,4,3,2,1,0,0,0,2,3,5,0,1,4,1,4,5,0,5,0,1,4,1,3,4,5,2,2,1,5,0,0,0,0,6,6,4,0,0
1,3595,3,1,1,2,3,2,2,1,2,2,2,3,1,2,1,3,2,2,3,2,1,3,1,1,0,0,0,4,4,5,0,5,0,1,4,5,0,5,0,5,0,5,0,5,1,1,1,1,5,0,0,0,0,6,6,95,0,0
1,5148,3,2,4,1,2,3,2,2,3,1,2,1,2,1,2,5,3,2,4,4,3,5,3,4,3,1,17,2,4,1,5,1,5,1,5,1,4,1,4,1,5,1,4,1,5,4,4,2,1,2,3,5,3,6,6,95,0,0
1,7479,3,1,1,3,2,2,2,2,2,1,1,2,3,3,2,4,3,4,4,4,1,4,2,1,0,0,0,2,4,5,0,1,5,1,5,1,5,1,5,5,0,1,5,3,2,2,4,1,5,0,0,0,0,6,5,1,0,0
1,6918,3,2,1,4,2,4,4,2,2,2,1,3,3,1,2,5,2,5,3,2,2,5,4,1,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,3,5,3,3,2,5,0,0,0,0,6,6,5,0,0
1,6918,4,2,3,4,1,5,2,2,3,1,2,2,1,1,2,5,2,5,5,5,2,5,4,1,0,0,0,4,4,1,4,1,4,1,5,1,4,1,5,1,4,1,4,4,4,2,4,2,5,0,0,0,0,6,6,4,0,0
1,486,3,1,1,3,1,4,2,1,1,1,1,2,2,1,2,2,3,3,3,3,3,2,3,1,0,0,0,1,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,2,1,2,4,2,1,4,3,7,3,6,5,4,1,0
1,486,4,1,1,3,1,2,3,1,1,1,1,1,4,1,2,2,2,3,3,1,1,2,2,1,0,0,0,2,2,5,0,5,0,5,0,5,0,5,0,5,0,1,3,2,1,2,3,1,1,5,3,7,3,6,6,1,0,0
1,315,3,1,2,2,1,4,3,2,3,2,2,1,4,2,2,5,2,4,3,3,2,3,1,2,3,0,0,4,4,5,0,1,5,1,3,5,0,1,5,1,4,1,4,4,5,5,3,2,5,0,0,0,0,6,2,2,0,0
1,5635,4,2,3,4,4,5,3,5,4,3,4,3,5,2,5,5,4,5,5,5,2,5,3,1,0,0,0,3,4,1,5,1,5,1,5,1,5,1,4,1,5,5,0,1,5,5,5,2,1,4,3,4,3,6,5,2,0,0
1,4274,4,1,3,3,1,5,3,1,3,1,1,1,1,3,1,5,4,4,5,4,2,4,2,6,3,11,0,2,4,5,0,1,1,5,0,5,0,1,5,1,5,5,0,1,1,2,4,2,1,4,3,4,3,6,6,17,0,0
1,5133,3,1,1,2,2,3,2,1,2,1,2,4,4,2,3,2,2,2,2,2,1,5,4,1,0,0,0,5,4,5,0,1,5,1,5,1,5,1,3,1,5,1,4,1,5,5,4,2,1,5,3,7,3,7,6,1,0,0
1,1738,3,1,2,2,1,5,2,1,2,2,1,4,4,3,4,5,4,4,5,5,5,5,4,1,0,0,0,2,4,1,4,1,5,1,5,1,4,1,4,1,5,1,5,1,5,4,3,2,5,0,0,0,0,8,8,95,0,0
1,4414,4,2,2,3,1,5,2,1,1,2,1,1,1,1,2,2,2,5,3,4,2,5,3,1,0,0,0,4,4,5,0,1,6,5,0,5,0,5,0,5,0,5,0,2,1,1,3,2,1,2,3,2,3,8,7,13,17,0
