DEMREL07,DEMID07,DEMSN07,RELPCG07,RELOCG07,SIBIND07,CH07PRWT,CH07WT,PCGRES07,OCGRES07,ASMRES07,CHRES07,TDRES07,CCDRES07,IWER07,SBLNUM07,BIOPR07,BIOGPR07
2,1868,4,1,5,1,13.316,14.765,1,1,1,1,1,0,3017,3,2,2
2,4460,3,1,4,5,26.552,28.111,1,1,1,1,1,1,3039,0,1,2
2,4066,5,1,4,5,31.627001,34.202,1,1,1,1,1,1,3029,3,1,2
2,1168,3,1,4,5,14.332,15.753,1,1,1,1,1,1,3008,0,1,0
2,3839,3,1,4,5,30.323,31.627001,1,1,1,1,1,1,3018,1,1,2
2,2431,3,1,4,5,19.695999,0,1,1,5,5,5,5,3029,0,1,2
2,6857,3,1,4,5,18.313999,19.613001,1,1,1,1,1,1,3037,2,1,2
2,123,3,1,5,5,41.459999,45.217999,1,1,1,1,1,1,3012,2,2,2
2,2532,4,1,0,5,14.603,15.094,1,0,1,1,1,1,3035,2,2,2
2,2651,3,1,4,5,13.366,14.385,1,1,1,1,1,9,3026,1,1,2
2,3122,3,1,4,5,13.609,15.057,1,1,1,1,1,1,3021,0,1,0
2,8143,3,1,4,5,20.687,0,1,1,5,5,1,5,3023,1,1,0
2,1233,3,1,4,5,31.686001,34.736,1,1,1,1,1,1,3033,9,1,2
2,7355,2,1,0,1,60.043999,68.755997,1,0,1,1,5,1,3037,1,2,0
2,7355,3,1,0,1,57.339001,62.515999,1,0,1,1,5,1,3037,1,2,0
2,758,3,1,4,5,18.267,19.424999,1,1,1,1,1,1,3024,0,1,2
2,614,3,1,4,1,22.149,24.226999,1,1,1,1,1,1,3042,1,1,2
2,614,4,1,4,1,21.718,23.444,1,1,1,1,1,1,3042,1,1,2
2,44,2,1,0,5,31.294001,34.159,1,0,1,1,1,1,3041,1,2,2
2,1850,3,4,1,5,25.228001,25.393999,1,1,1,1,1,1,3031,1,1,2
2,1055,3,1,4,1,13.506,14.4,1,1,1,1,1,1,3018,1,1,2
2,1055,4,1,4,1,13.147,13.859,1,1,1,1,1,1,3018,1,1,2
2,1114,3,1,4,5,60.483002,64.518997,1,1,1,1,1,1,3018,1,1,2
2,3023,3,1,4,1,19.233,21.066,1,1,1,1,1,0,3041,1,1,2
2,3023,4,1,4,1,18.725,20.153,1,1,1,1,1,0,3041,1,1,2
2,4158,2,1,0,5,23.750999,0,1,0,5,5,1,5,3039,0,2,2
