OHHREL07,OHHID07,OHHSN07,Q36B1,Q36B2,Q36B3,Q36B4,Q36B5,Q36B6A,Q36B6B,Q36B6C,Q36B6D,Q36B6E,Q36B6F,Q36B7,Q36B8,Q36B9,Q36B10A,Q36B10B,Q36B10C,Q36B10D,Q36B10E,Q36B10F,Q36B10G,Q36B10H,Q36B10I,Q36B10J,Q36B11A,Q36B11B,Q36B11C,Q36B11D,Q36B12A,Q36B12B,Q36B12C,Q36B12D,Q36B14A,Q36B14B,Q36B14C,Q36B14D,Q36B15A,Q36B15B,Q36B15C,Q36B16A,Q36B16B,Q36B16C,Q36B16D,Q36B16E,Q36B16F,Q36B16G,Q36B16H,Q36B16I,Q36B16J,Q36B16K,Q36B16L,Q36B16M,Q36B16N,Q36B16O,Q36B16P,Q36B16Q,Q36B16R,Q36B16S,Q36B17A,Q36B17B,Q36B17C,Q36B17D,Q36B17E,Q36B18A,Q36B18B,Q36B18C,Q36B19A,Q36B19B,Q36B19C,Q36B19D,Q36B19E,Q36B20,Q36B21,Q36B22,Q36B23,Q36B24,Q36B25,Q36B26,Q36B27,Q36B28,Q36B28OS,Q36B29
1,676,3,7,3,5,3,3,4,5,1,1,5,5,1,3,2,3,3,1,3,1,4,2,2,1,2,2,2,3,2,3,1,4,5,5,1,2,3,1,1,5,3,4,4,2,3,3,2,3,2,3,3,4,4,3,4,2,3,2,3,3,3,1,3,1,3,4,3,2,3,3,3,3,5,0,0,1,1,42,4,2,7,1,120
1,676,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,909,3,7,20,6,3,3,3,5,3,2,5,5,3,0,4,4,4,1,4,1,4,4,1,1,1,1,1,1,1,1,4,5,3,5,1,2,2,1,1,5,4,1,2,1,4,4,1,4,2,2,2,4,3,4,4,1,4,1,4,1,2,1,2,1,4,4,3,1,1,3,2,1,5,0,0,1,1,40,7,2,7,1,15
1,909,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1171,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1171,5,0,0,3,3,3,5,5,1,1,5,5,3,0,4,4,4,2,4,1,4,4,2,1,1,1,2,1,2,1,4,3,5,5,2,5,4,1,5,1,3,3,1,1,3,4,1,4,4,2,2,8,3,3,3,3,3,2,3,1,3,1,1,1,4,4,3,2,2,3,3,2,5,0,0,1,1,40,6,1,0,0,10
1,5783,4,7,3,5,3,3,5,4,4,4,5,5,1,1,3,4,4,1,4,1,3,4,2,1,1,3,3,2,2,3,4,1,5,3,1,3,4,5,1,1,3,2,3,2,3,4,2,4,3,2,3,3,4,3,3,2,4,2,3,2,3,2,2,1,3,3,3,1,1,2,3,2,5,0,0,1,1,45,5,1,0,0,30
1,5783,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6526,4,0,1,6,3,3,5,4,5,5,5,5,3,0,4,4,4,1,4,1,4,4,1,1,1,1,1,1,1,5,4,1,3,5,2,5,3,1,1,5,4,2,2,2,2,4,3,4,4,1,3,4,3,4,4,1,3,1,4,4,3,1,4,4,3,3,2,2,2,2,3,3,5,0,0,1,1,40,5,1,0,0,60
1,1876,4,7,9,3,3,1,5,2,4,5,2,5,3,0,4,4,3,2,4,2,4,3,4,4,3,3,3,2,4,1,2,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,1,1,1,1,1,3,3,3,1,1,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4511,4,0,6,3,3,3,4,5,2,4,4,4,2,2,3,4,4,1,4,1,3,4,2,1,1,2,1,1,1,3,4,1,5,3,1,4,2,1,1,1,3,1,3,1,3,4,1,4,3,1,2,3,4,4,4,4,4,1,3,3,2,2,1,1,3,4,3,2,1,4,4,1,1,4,40,5,0,0,0,0,0,0,0
1,5248,3,1,80,1,3,3,5,5,2,3,3,3,3,0,2,4,4,3,2,3,2,2,3,3,2,2,3,3,3,3,5,1,4,2,1,1,1,1,5,5,3,2,1,9,3,3,2,4,2,3,4,4,4,3,3,2,3,1,3,4,1,1,1,1,3,3,3,3,2,3,3,2,5,0,0,1,1,37,5,2,2,0,15
1,7848,3,5,15,4,2,3,4,3,1,1,2,5,2,2,3,4,4,1,4,1,3,3,3,3,2,3,3,2,3,4,5,1,3,5,2,5,4,1,1,5,4,2,2,1,4,4,2,4,2,2,2,3,4,4,4,2,3,2,2,2,3,3,2,2,3,3,4,2,2,2,4,3,5,0,0,1,1,60,7,2,3,0,25
1,7848,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7276,3,7,4,5,3,3,4,5,3,5,5,5,3,0,4,4,4,1,4,1,4,3,1,1,1,1,3,2,1,3,4,1,5,3,1,3,2,1,1,5,3,4,3,2,4,4,2,4,2,1,2,8,4,4,4,2,4,2,4,3,2,1,1,1,3,3,4,2,2,3,2,1,5,0,0,1,1,55,6,1,0,0,35
1,7853,4,4,2,6,3,3,4,5,4,4,5,5,3,0,3,4,4,1,3,1,4,3,2,1,1,1,1,1,1,4,5,3,1,3,1,1,1,1,1,1,4,1,1,1,4,4,1,4,1,1,1,4,4,4,4,3,4,1,4,2,3,2,2,1,3,3,2,2,2,2,3,2,5,0,0,1,1,48,5,1,0,0,15
1,7639,3,0,0,1,3,3,5,5,5,5,5,5,0,0,0,3,3,1,3,1,4,4,1,1,1,2,1,1,1,3,4,5,1,2,1,5,1,1,5,1,4,2,2,1,3,3,2,4,2,3,2,4,4,4,4,2,4,1,3,2,2,2,2,1,4,4,4,1,1,4,1,1,5,0,0,1,1,40,5,1,0,0,30
1,1093,3,7,5,4,3,3,5,5,5,1,5,5,3,0,4,4,4,1,2,4,4,4,2,4,1,1,1,1,1,4,1,3,5,3,3,1,1,1,1,5,4,1,1,1,4,4,4,4,4,4,1,4,4,4,1,1,4,1,4,1,1,1,1,1,4,3,3,2,2,3,2,2,5,0,0,1,1,40,5,1,0,0,6
1,5545,2,2,0,2,2,2,5,5,5,5,5,5,0,0,0,3,3,2,3,2,3,3,3,2,2,2,2,2,2,3,5,2,1,5,3,1,5,1,1,5,3,3,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,1,1,3,4,3,2,3,3,2,2,2,3,5,0,0,1,1,40,5,2,2,0,45
1,5545,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4031,3,6,6,2,3,3,1,5,2,3,4,5,2,2,3,3,3,2,3,2,3,3,2,3,2,3,3,2,3,4,3,5,1,4,1,1,2,1,5,5,4,2,2,2,4,4,2,3,2,3,2,3,3,3,3,2,4,2,3,3,4,4,1,1,2,4,4,2,2,3,2,2,1,2,10,5,0,0,0,0,0,0,0
1,2688,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2688,4,0,6,2,3,3,4,5,4,4,5,5,3,0,4,4,4,1,4,1,4,4,1,1,1,3,1,2,1,3,5,4,1,2,1,1,1,5,1,5,4,1,3,2,3,3,3,4,3,2,2,4,4,4,4,2,4,2,3,1,1,2,2,1,3,3,3,2,2,3,2,2,5,0,0,1,2,50,6,1,0,0,15
1,4898,3,7,8,2,3,3,3,4,2,1,5,5,3,0,2,3,4,1,4,2,3,3,4,2,2,3,2,2,2,3,5,1,4,2,1,1,1,1,1,1,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,4,3,1,1,1,3,3,3,3,3,1,3,1,5,0,0,1,1,43,6,2,1,0,25
1,4898,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4928,2,2,15,6,3,3,4,4,4,4,4,4,3,0,3,3,3,2,3,2,3,3,2,2,2,2,2,2,2,5,1,3,4,5,5,5,5,5,5,5,3,3,3,2,3,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,3,2,2,1,3,3,3,2,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,7295,3,1,2,1,3,2,3,4,4,4,5,4,3,0,4,3,3,2,3,2,3,3,3,3,3,3,3,1,3,4,1,3,5,5,3,5,4,5,1,1,3,3,2,3,3,3,4,3,4,3,3,4,3,4,3,4,2,3,3,4,1,1,1,1,2,2,2,2,2,3,3,3,5,0,0,1,1,40,7,2,7,1,998
1,6876,3,7,0,5,3,3,5,5,5,5,5,5,0,0,0,3,4,1,3,2,3,3,2,2,2,3,2,2,2,4,1,3,5,5,2,5,3,1,1,5,4,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,2,2,1,4,4,3,2,2,3,2,2,5,0,0,1,1,70,6,1,0,0,20
