OHHREL07,OHHID07,OHHSN07,Q36B1,Q36B2,Q36B3,Q36B4,Q36B5,Q36B6A,Q36B6B,Q36B6C,Q36B6D,Q36B6E,Q36B6F,Q36B7,Q36B8,Q36B9,Q36B10A,Q36B10B,Q36B10C,Q36B10D,Q36B10E,Q36B10F,Q36B10G,Q36B10H,Q36B10I,Q36B10J,Q36B11A,Q36B11B,Q36B11C,Q36B11D,Q36B12A,Q36B12B,Q36B12C,Q36B12D,Q36B14A,Q36B14B,Q36B14C,Q36B14D,Q36B15A,Q36B15B,Q36B15C,Q36B16A,Q36B16B,Q36B16C,Q36B16D,Q36B16E,Q36B16F,Q36B16G,Q36B16H,Q36B16I,Q36B16J,Q36B16K,Q36B16L,Q36B16M,Q36B16N,Q36B16O,Q36B16P,Q36B16Q,Q36B16R,Q36B16S,Q36B17A,Q36B17B,Q36B17C,Q36B17D,Q36B17E,Q36B18A,Q36B18B,Q36B18C,Q36B19A,Q36B19B,Q36B19C,Q36B19D,Q36B19E,Q36B20,Q36B21,Q36B22,Q36B23,Q36B24,Q36B25,Q36B26,Q36B27,Q36B28,Q36B28OS,Q36B29
1,1829,3,0,0,5,3,3,3,4,3,4,3,5,3,0,3,3,3,2,3,2,3,3,4,3,2,2,2,2,3,1,4,5,3,5,5,4,1,5,5,5,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,3,1,3,1,3,2,4,2,1,3,1,1,5,0,0,1,1,55,6,1,0,0,20
1,2798,3,5,14,5,3,3,4,5,5,1,5,5,3,0,4,1,4,1,4,4,4,4,4,1,1,1,1,1,1,1,5,3,4,5,1,5,1,5,1,1,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,2,2,4,2,1,4,4,3,1,1,4,4,4,5,0,0,1,1,40,5,1,0,0,30
1,2816,3,7,0,5,3,3,4,5,4,5,5,5,2,2,4,4,4,1,4,2,4,4,2,2,2,3,2,2,2,3,1,5,4,5,3,3,3,1,1,5,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,1,3,3,3,1,1,3,3,2,2,2,2,2,5,0,0,5,0,0,0,0,0,0,0
1,6938,4,7,5,6,3,3,3,2,4,3,3,4,3,0,2,3,4,2,3,2,3,3,3,2,2,2,2,2,2,5,1,4,2,5,1,5,1,5,5,1,4,2,2,4,4,4,2,3,2,2,2,4,3,3,4,3,3,2,4,3,4,3,3,3,3,3,2,2,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,4750,3,0,20,5,3,3,4,5,4,5,4,3,2,1,4,4,4,1,4,2,3,3,3,2,2,2,2,2,2,4,3,1,2,5,1,3,1,5,5,5,4,4,4,2,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,2,2,2,1,1,3,3,3,2,2,3,2,2,5,0,0,1,1,40,4,1,0,0,998
1,2087,3,1,2,3,3,3,4,5,4,4,5,5,3,0,3,3,3,2,3,2,3,3,3,2,2,3,2,3,2,4,1,5,3,3,3,5,3,5,1,5,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,2,2,1,3,3,3,2,2,3,2,2,5,0,0,1,1,40,3,2,5,0,120
1,7810,3,2,3,6,3,3,5,5,5,5,5,5,0,0,0,3,3,2,3,2,3,3,2,2,2,2,2,2,2,5,1,4,3,5,1,1,1,1,1,1,4,3,3,2,2,3,2,3,3,3,2,3,3,3,3,3,3,2,3,2,1,2,1,1,4,3,4,1,1,2,3,2,5,0,0,1,1,40,5,1,0,0,20
1,797,3,3,13,1,3,3,2,5,3,3,5,4,3,0,1,3,4,3,3,3,3,3,3,3,1,1,3,3,4,5,3,4,2,5,5,5,1,1,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,2,2,3,3,3,5,0,0,5,0,0,0,0,0,0,0
1,5997,5,2,3,6,3,3,1,5,5,5,4,5,2,3,4,4,3,1,4,1,4,4,1,1,1,1,3,4,1,4,3,1,5,5,3,3,3,1,1,5,4,1,1,1,3,4,1,4,1,2,1,4,3,4,3,3,4,1,4,2,4,4,2,1,4,4,4,1,1,3,2,1,5,0,0,1,1,48,6,1,0,0,18
1,6508,4,0,3,6,3,3,5,5,2,5,3,5,3,0,2,1,4,2,2,2,3,2,2,2,2,3,2,3,2,5,3,4,1,1,1,1,1,1,5,5,4,4,4,4,1,1,4,4,4,1,2,4,4,4,4,1,4,8,2,3,2,1,1,1,4,4,4,2,3,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,1994,3,2,9,1,2,2,3,5,3,5,5,5,3,0,4,4,4,1,4,1,4,4,1,1,1,1,1,1,1,3,5,4,1,5,3,3,3,5,1,1,4,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3,2,2,4,1,1,1,1,3,3,3,3,3,2,3,2,5,0,0,1,1,40,6,2,5,0,30
1,1143,4,4,1,3,3,3,5,5,5,1,5,5,9,0,4,3,4,2,4,2,4,4,9,2,2,2,2,2,2,3,4,5,2,3,1,5,1,1,1,1,3,2,2,2,4,4,2,3,2,3,9,4,4,4,4,4,4,3,4,4,3,1,1,1,3,3,4,2,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,6825,3,0,1,2,8,3,5,5,5,5,5,5,0,0,0,4,4,2,4,2,4,4,2,2,2,2,1,2,2,3,5,4,1,5,4,2,3,1,5,1,3,3,3,2,3,3,2,3,2,2,2,3,3,3,3,3,3,2,3,1,1,4,1,1,1,2,1,1,2,2,2,1,5,0,0,1,1,45,5,1,0,0,25
1,7617,4,0,0,1,1,1,3,5,4,5,5,5,3,0,4,3,3,2,3,2,3,3,2,2,2,3,2,2,2,3,4,5,1,1,2,4,2,5,5,5,2,2,2,2,3,4,2,3,2,2,3,3,3,4,2,3,2,2,3,1,1,1,1,1,4,4,4,1,3,3,2,1,5,0,0,5,0,0,0,0,0,0,0
1,3104,3,7,15,6,3,3,5,5,5,5,5,5,0,0,0,4,4,2,4,2,4,4,2,2,2,2,2,2,2,3,5,4,2,3,1,1,1,1,1,1,4,2,4,4,3,4,2,4,4,2,1,3,4,4,3,1,2,2,3,2,4,4,2,1,4,4,4,1,1,4,2,1,1,40,20,1,2,53,3,2,7,1,45
1,4644,4,3,3,6,3,3,3,3,3,3,5,3,1,2,2,3,4,1,3,2,3,2,2,2,2,2,3,3,2,3,1,5,4,2,1,1,1,5,1,5,4,3,2,2,2,3,2,4,2,2,2,3,3,3,3,3,3,2,3,3,2,3,3,2,2,3,3,2,2,2,2,2,5,0,0,1,1,45,5,1,0,0,10
1,2942,3,7,3,5,3,3,4,4,4,4,5,5,3,0,4,4,4,1,4,1,4,4,4,2,2,1,2,1,1,3,5,4,1,2,1,1,1,5,5,1,4,1,2,1,4,4,3,4,2,2,2,2,4,4,4,2,4,2,4,2,2,1,1,1,3,4,4,2,1,3,2,1,5,0,0,1,1,70,5,2,4,0,15
1,4482,3,7,40,5,3,3,5,5,5,5,5,5,0,0,0,3,4,2,3,2,4,4,2,2,1,2,2,1,1,3,4,5,1,3,1,1,1,5,1,5,3,2,1,2,2,3,2,4,2,3,2,4,3,4,4,2,4,2,3,3,1,1,1,1,4,4,4,2,2,3,2,2,5,0,0,1,1,40,4,1,0,0,1
1,3969,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3969,4,0,2,3,3,3,2,2,2,2,3,3,1,1,2,3,3,3,3,3,3,3,3,3,2,2,3,2,3,4,1,5,3,5,1,5,5,5,1,5,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,4,4,3,3,1,3,3,2,2,2,2,3,2,5,0,0,1,1,40,5,1,0,0,35
1,5186,2,7,4,5,3,3,5,5,4,4,5,5,2,3,3,4,4,2,4,2,4,4,2,2,2,3,2,3,3,1,3,4,5,3,1,5,5,1,1,1,3,2,2,1,4,4,4,4,3,2,4,3,4,4,4,2,4,3,2,4,1,1,1,1,4,3,1,1,2,2,4,2,5,0,0,1,1,50,5,2,3,0,20
1,3048,4,7,0,6,3,3,4,4,5,3,5,4,1,3,3,3,3,2,3,2,3,3,2,2,2,2,3,2,2,1,3,5,4,5,1,5,1,5,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,1,4,3,1,2,3,3,1,2,3,3,3,5,0,0,1,1,40,5,1,0,0,35
1,2198,3,2,3,1,3,3,5,3,3,1,4,3,3,0,3,2,3,1,3,2,4,1,2,3,1,4,4,3,4,4,5,3,2,4,3,4,2,1,1,1,3,3,3,3,2,4,2,1,2,2,4,3,4,4,3,3,3,2,4,3,3,3,1,1,3,3,3,2,2,2,2,2,5,0,0,5,0,0,0,0,0,0,0
