CHILDID07,CHILDSN07,PCGID07,PCGSN07,CDSHID07,PCGINST07,PCG68ID07,PCGPN07
1087,3,1087,2,143,1,5834,185
1093,3,1093,1,144,1,5363,4
1096,3,1096,2,145,1,374,5
1098,3,1098,2,146,1,2410,30
1103,3,1103,2,147,1,1048,6
1112,3,1112,2,148,1,2137,174
1113,4,1113,2,149,1,2047,5
1114,3,1114,2,150,1,344,178
1117,2,1117,1,151,1,6655,2
1117,3,1117,1,151,1,6655,2
1124,3,1124,2,152,1,5061,4
1136,2,1136,1,153,1,5065,186
1143,4,1143,2,154,1,5539,3
1146,4,1146,1,155,1,6785,7
1146,5,1146,1,155,1,6785,7
1160,8,1160,2,156,1,6205,5
1160,9,1160,2,156,1,6205,5
1168,3,1168,2,157,1,220,170
1171,3,1171,2,158,1,5219,195
1171,5,1171,2,158,1,5219,195
1173,3,1173,2,159,1,2297,174
1175,2,1175,1,160,1,2028,30
1177,3,1177,2,161,1,1905,173
1186,3,1186,1,162,1,5635,2
1191,2,1191,1,163,1,6605,12
1191,3,1191,1,163,1,6605,12
1193,2,1193,1,164,1,5995,30
1193,3,1193,1,164,1,5995,30
1198,2,1198,1,165,1,5526,16
1207,4,1207,2,166,1,2852,6
1207,6,1207,2,166,1,2852,6
1212,2,1212,1,167,1,2851,5
1212,3,1212,1,167,1,2851,5
1214,3,1214,2,168,1,39,174
1216,3,1216,2,169,1,699,174
1216,4,1216,2,169,1,699,174
1233,3,1233,2,170,1,280,172
1242,3,1242,1,171,1,6413,35
1248,3,1248,2,172,1,3090,2
1267,2,1267,1,173,1,6736,30
1268,3,1268,2,174,1,5991,2
1268,4,1268,2,174,1,5991,2
1271,3,1271,2,175,1,1121,175
1273,2,1273,1,176,1,1914,30
1276,3,1276,2,177,1,173,5
1279,3,1279,2,178,1,626,34
1279,4,1279,2,178,1,626,34
1297,4,1297,2,179,1,2238,170
1300,3,1300,2,180,1,3179,3
1300,5,1300,2,180,1,3179,3
1307,3,1307,2,181,1,2848,30
1307,4,1307,2,181,1,2848,30
1312,3,1312,2,182,1,3151,2
1315,3,1315,2,183,1,6413,10
1321,2,1321,1,184,1,6840,30
1322,2,1322,6,185,1,6110,171
1322,3,1322,6,185,1,6110,171
1327,3,1327,1,186,1,6166,6
1347,3,1347,2,187,1,90,3
1347,4,1347,2,187,1,90,3
1351,2,1351,1,188,1,1242,6
1351,3,1351,1,188,1,1242,6
1355,2,1355,1,189,1,1722,33
1358,3,1358,2,190,1,3094,2
1358,4,1358,2,190,1,3094,2
1360,3,1360,1,191,1,6735,8
1362,4,1362,1,192,1,2083,174
1366,3,1366,2,193,1,2726,3
1366,4,1366,2,193,1,2726,3
1376,2,1376,1,194,1,2848,10
1376,3,1376,1,194,1,2848,10
1381,2,1381,1,195,1,840,38
1384,3,1384,2,196,1,2714,191
