GENREL07,GENID07,GENSN07,CH07_ID,CH07_PN,PCG07_ID,PCG07_PN,OCG07_ID,OCG07_PN
4,938,3,5663,49,5663,7,5663,197
4,939,4,1908,33,1908,174,1908,176
4,940,3,18,39,18,31,18,183
4,940,4,18,40,18,31,18,183
4,941,4,6736,39,6736,5,6736,181
4,960,2,5771,30,5771,170,0,0
4,970,2,5995,38,5995,6,0,0
4,984,2,5395,35,5395,5,0,0
4,993,2,5904,49,5904,33,0,0
4,993,3,5904,52,5904,33,0,0
4,996,4,1542,36,1542,5,1542,174
4,1000,3,1163,43,1163,173,1163,5
4,1006,4,1368,32,1368,172,0,0
4,1012,3,1645,31,1645,4,1645,170
4,1012,4,1645,32,1645,4,1645,170
4,1019,2,6710,35,6710,31,0,0
4,1024,3,1498,34,1498,175,0,0
4,1036,3,1068,32,1068,30,1068,177
4,1039,3,5994,32,5994,6,5994,171
4,1040,2,5635,183,5635,3,0,0
4,1043,3,2486,34,2486,31,2486,189
4,1052,3,6107,47,6107,30,6107,203
4,1053,3,1954,31,1954,170,0,0
4,1055,3,343,32,343,171,343,30
4,1055,4,343,33,343,171,343,30
4,1060,3,844,34,844,172,844,3
4,1072,2,1096,33,1096,174,0,0
4,1076,3,1695,46,1695,11,1695,226
4,1087,3,5834,34,5834,185,5834,7
4,1093,3,5363,35,5363,4,5363,32
4,1096,3,374,30,374,5,374,170
4,1098,3,2410,33,2410,30,2410,171
4,1103,3,1048,37,1048,6,1048,198
4,1112,3,2137,34,2137,174,2137,177
4,1113,4,2047,31,2047,5,2047,170
4,1114,3,344,34,344,178,344,4
4,1117,2,6655,38,6655,2,0,0
4,1117,3,6655,39,6655,2,0,0
4,1124,3,5061,34,5061,4,5061,176
4,1136,2,5065,37,5065,186,5065,185
4,1143,4,5539,187,5539,3,5539,192
4,1146,4,6785,37,6785,7,0,0
4,1146,5,6785,38,6785,7,0,0
4,1160,8,6205,193,6205,5,6205,183
4,1160,9,6205,42,6205,5,6205,183
4,1168,3,220,30,220,170,220,2
4,1171,3,5219,193,5219,195,5219,30
4,1171,5,5219,35,5219,195,5219,30
4,1173,3,2297,34,2297,174,2297,30
4,1175,2,2028,32,2028,30,0,0
4,1177,3,1905,33,1905,173,1905,4
4,1186,3,5635,180,5635,2,0,0
4,1191,2,6605,37,6605,12,0,0
4,1191,3,6605,38,6605,12,0,0
4,1193,2,5995,42,5995,30,0,0
4,1193,3,5995,44,5995,30,0,0
4,1198,2,5526,48,5526,16,0,0
4,1207,4,2852,46,2852,6,0,0
4,1207,6,2852,53,2852,6,0,0
4,1212,2,2851,34,2851,5,0,0
4,1212,3,2851,35,2851,5,0,0
4,1214,3,39,31,39,174,39,30
4,1216,3,699,35,699,174,699,5
4,1216,4,699,36,699,174,699,5
4,1233,3,280,33,280,172,280,4
4,1242,3,6413,42,6413,35,0,0
4,1248,3,3090,4,3090,2,3090,1
4,1267,2,6736,38,6736,30,6736,197
4,1268,3,5991,33,5991,2,5991,171
4,1268,4,5991,34,5991,2,5991,171
4,1271,3,1121,33,1121,175,1121,30
4,1273,2,1914,33,1914,30,0,0
4,1276,3,173,39,173,5,173,171
4,1279,3,626,44,626,34,626,207
4,1279,4,626,47,626,34,626,207
4,1297,4,2238,33,2238,170,2238,3
4,1300,3,3179,4,3179,3,0,0
4,1300,5,3179,6,3179,3,0,0
4,1307,3,2848,41,2848,30,2848,184
4,1307,4,2848,42,2848,30,2848,184
4,1312,3,3151,5,3151,2,3151,1
4,1315,3,6413,40,6413,10,6413,190
4,1321,2,6840,33,6840,30,0,0
4,1322,2,6110,44,6110,171,0,0
4,1322,3,6110,47,6110,171,0,0
4,1327,3,6166,57,6166,6,6166,45
4,1347,3,90,31,90,3,90,172
4,1347,4,90,32,90,3,90,172
4,1351,2,1242,35,1242,6,0,0
4,1351,3,1242,38,1242,6,0,0
4,1355,2,1722,38,1722,33,0,0
4,1358,3,3094,3,3094,2,3094,1
4,1358,4,3094,4,3094,2,3094,1
4,1360,3,6735,44,6735,8,0,0
4,1362,4,2083,31,2083,174,1839,182
4,1366,3,2726,30,2726,3,2726,170
4,1366,4,2726,31,2726,3,2726,170
4,1376,2,2848,39,2848,10,0,0
4,1376,3,2848,40,2848,10,0,0
4,1381,2,840,42,840,38,0,0
4,1384,3,2714,183,2714,191,2714,190
4,1395,4,5995,40,5995,170,0,0
4,1398,4,1125,32,1125,172,1125,3
4,1400,3,620,35,620,4,620,171
4,1402,2,2443,31,2443,170,2443,30
4,1403,3,2490,34,2490,31,2490,173
4,1405,3,3404,3,3404,2,3404,1
4,1405,4,3404,4,3404,2,3404,1
4,1411,2,7,41,7,30,0,0
4,1411,4,7,44,7,30,0,0
4,1419,5,769,39,769,3,769,172
4,1425,2,707,30,707,171,0,0
4,1425,3,707,32,707,171,0,0
