CHILDID97,CHILDSN97,PCGID97,PCGSN97,CDSHID97,PCGINST97
719,3,719,2,171,1
722,2,722,1,172,1
722,3,722,1,172,1
724,3,724,2,173,1
725,6,725,2,174,1
731,5,731,2,175,1
732,3,732,2,176,1
732,4,732,2,176,1
740,2,740,1,177,1
742,3,742,1,178,1
742,4,742,1,178,1
745,3,745,2,179,1
746,3,746,2,180,1
746,4,746,2,180,1
747,3,747,2,181,1
748,4,748,1,182,1
748,5,748,1,182,1
749,4,749,2,183,1
749,5,749,2,183,1
750,3,750,1,184,1
750,4,750,1,184,1
758,2,758,1,185,1
758,3,758,1,185,1
764,4,764,2,186,1
765,2,765,1,187,1
768,3,768,2,188,1
769,2,769,1,189,1
769,3,769,1,189,1
770,3,770,1,190,1
779,4,779,2,191,1
781,3,781,2,192,1
781,4,781,2,192,1
786,5,786,2,193,1
786,6,786,2,193,1
789,5,789,2,194,1
789,7,789,2,194,1
793,5,793,2,195,1
793,6,793,2,195,1
797,4,797,2,196,1
800,2,800,1,197,1
801,2,801,1,198,1
802,2,802,1,199,1
803,3,803,2,200,1
803,4,803,2,200,1
810,3,810,2,201,1
811,5,811,1,202,1
811,6,811,1,202,1
820,4,820,2,203,1
827,3,827,2,204,1
828,3,828,2,205,1
832,3,832,2,206,1
832,4,832,2,206,1
833,3,833,1,207,1
838,5,838,2,208,1
839,5,839,2,209,1
849,3,849,2,210,1
851,2,851,1,211,1
851,3,851,1,211,1
854,2,854,1,212,1
859,3,859,2,213,1
860,3,860,2,214,1
860,4,860,2,214,1
862,3,862,2,215,1
862,4,862,2,215,1
864,3,864,2,216,1
864,5,864,2,216,1
866,4,866,2,217,1
866,5,866,2,217,1
878,2,878,1,218,1
879,3,879,2,219,1
880,6,880,5,220,1
882,4,882,2,221,1
885,4,885,2,222,1
885,5,885,2,222,1
888,3,888,2,223,1
892,3,892,2,224,1
892,4,892,2,224,1
920,2,920,1,225,1
920,3,920,1,225,1
926,3,926,1,226,1
926,4,926,1,226,1
938,4,938,2,227,1
938,5,938,2,227,1
967,2,967,1,228,1
971,3,971,2,229,1
971,5,971,2,229,1
972,4,972,2,230,1
972,5,972,2,230,1
974,3,974,2,231,1
980,2,980,1,232,1
981,3,981,2,233,1
981,4,981,2,233,1
986,5,986,2,234,1
997,5,997,2,235,1
1000,3,1000,2,236,1
1000,4,1000,2,236,1
1004,3,1004,1,237,1
1012,3,1012,2,238,1
1012,4,1012,2,238,1
1014,3,1014,1,239,1
1031,3,1031,2,240,1
1031,4,1031,2,240,1
1033,4,1033,2,241,1
1045,4,1045,2,242,1
1045,5,1045,2,242,1
1046,3,1046,2,243,1
1046,4,1046,2,243,1
1049,3,1049,1,244,1
1053,2,1053,1,245,1
1053,3,1053,1,245,1
1061,2,1061,1,246,1
1061,3,1061,1,246,1
1062,3,1062,2,247,1
1062,4,1062,2,247,1
1067,3,1067,2,248,1
1069,4,1069,2,249,1
1070,3,1070,2,250,1
1085,5,1085,1,251,1
1085,6,1085,1,251,1
1088,3,1088,2,252,1
1089,4,1089,2,253,1
1092,2,1092,1,254,1
1094,4,1094,2,255,1
1096,3,1096,2,256,1
1096,4,1096,2,256,1
1098,4,1098,2,257,1
1098,5,1098,2,257,1
1099,3,1099,2,258,1
1101,4,1101,1,259,1
1101,6,1101,1,259,1
1104,3,1104,2,260,1
1106,3,1106,2,261,1
1107,3,1107,2,262,1
1111,5,1111,2,263,1
1111,6,1111,2,263,1
1113,3,1113,2,264,1
1113,4,1113,2,264,1
1114,4,1114,2,265,1
1114,6,1114,2,265,1
1115,4,1115,2,266,1
1117,4,1117,2,267,1
1134,3,1134,2,268,1
1134,4,1134,2,268,1
1137,2,1137,1,269,1
1137,3,1137,1,269,1
1138,3,1138,2,270,1
1143,3,1143,1,271,1
1143,4,1143,1,271,1
1151,3,1151,2,272,1
1151,4,1151,2,272,1
1158,3,1158,2,273,1
1158,5,1158,2,273,1
1159,3,1159,1,274,1
1159,6,1159,1,274,1
1169,4,1169,2,275,1
1179,3,1179,2,276,1
1179,4,1179,2,276,1
1184,3,1184,2,277,1
1184,4,1184,2,277,1
1190,3,1190,2,278,1
1190,4,1190,2,278,1
1192,4,1192,2,279,1
1197,3,1197,2,280,1
1217,5,1217,2,281,1
1217,6,1217,2,281,1
1218,2,1218,1,282,1
1218,3,1218,1,282,1
1219,3,1219,2,283,1
1223,3,1223,2,284,1
1223,4,1223,2,284,1
1224,3,1224,2,285,1
1230,3,1230,2,286,1
1237,3,1237,1,287,1
1239,4,1239,1,288,1
1239,5,1239,1,288,1
1241,3,1241,1,289,1
1241,5,1241,1,289,1
1245,2,1245,1,290,1
1251,3,1251,2,291,1
1251,4,1251,2,291,1
1256,4,1256,2,292,1
1261,6,1261,2,293,1
1261,7,1261,2,293,1
1268,3,1268,1,294,1
1272,3,1272,2,295,1
1272,5,1272,2,295,1
1273,3,1273,2,296,1
1273,4,1273,2,296,1
1275,3,1275,2,297,1
1277,2,1277,1,298,1
1278,3,1278,2,299,1
1279,2,1279,1,300,1
1279,3,1279,1,300,1
1280,7,1280,2,301,1
1280,8,1280,2,301,1
1287,4,1287,1,302,1
1287,6,1287,5,302,2
1290,3,1290,2,303,1
1290,4,1290,2,303,1
1293,3,1293,2,304,1
1298,3,1298,2,305,1
1298,4,1298,2,305,1
1300,4,1300,2,306,1
1300,5,1300,2,306,1
1302,3,1302,2,307,1
1303,3,1303,2,308,1
1303,4,1303,2,308,1
1304,3,1304,2,309,1
1305,4,1305,2,310,1
1310,3,1310,2,311,1
1310,4,1310,2,311,1
1311,2,1311,1,312,1
1311,3,1311,1,312,1
1312,2,1312,1,313,1
1313,2,1313,1,314,1
1320,3,1320,2,315,1
1320,4,1320,2,315,1
1323,5,1323,1,316,1
1330,3,1330,2,317,1
1340,3,1340,2,318,1
1342,4,1342,2,319,1
1346,4,1346,2,320,1
1350,4,1350,2,321,1
1350,5,1350,2,321,1
1355,3,1355,2,322,1
1359,2,1359,1,323,1
1361,2,1361,1,324,1
1362,3,1362,2,325,1
1362,4,1362,2,325,1
1365,4,1365,2,326,1
1366,3,1366,2,327,1
1371,3,1371,2,328,1
1375,3,1375,2,329,1
1378,3,1378,2,330,1
1378,4,1378,2,330,1
1379,3,1379,2,331,1
1385,2,1385,1,332,1
1385,3,1385,1,332,1
1386,3,1386,2,333,1
1394,3,1394,2,334,1
1394,4,1394,2,334,1
1395,3,1395,2,335,1
1397,4,1397,2,336,1
1398,4,1398,2,337,1
1399,3,1399,2,338,1
1399,4,1399,2,338,1
1403,6,1403,2,339,1
1403,7,1403,3,339,2
1406,4,1406,2,340,1
1407,2,1407,1,341,1
1407,3,1407,1,341,1
1408,3,1408,2,342,1
1408,4,1408,2,342,1
1409,3,1409,2,343,1
1409,4,1409,2,343,1
1412,4,1412,2,344,1
1412,5,1412,2,344,1
1413,2,1413,1,345,1
1415,5,1415,2,346,1
1417,2,1417,1,347,1
1423,3,1423,2,348,1
1424,3,1424,2,349,1
1424,4,1424,2,349,1
1426,4,1426,2,350,1
1426,5,1426,2,350,1
1431,4,1431,2,351,1
1431,5,1431,2,351,1
1443,3,1443,2,352,1
1443,4,1443,2,352,1
1444,2,1444,1,353,1
1444,3,1444,1,353,1
1447,2,1447,1,354,1
1453,3,1453,2,355,1
1454,2,1454,1,356,1
1460,3,1460,2,357,1
1461,3,1461,2,358,1
1461,4,1461,2,358,1
1463,3,1463,2,359,1
1463,4,1463,2,359,1
1464,3,1464,2,360,1
1465,3,1465,2,361,1
1466,3,1466,2,362,1
1466,4,1466,2,362,1
1469,3,1469,1,363,1
1476,3,1476,2,364,1
1487,4,1487,2,365,1
1487,6,1487,2,365,1
1490,4,1490,2,366,1
1491,3,1491,2,367,1
1491,4,1491,2,367,1
1492,2,1492,1,368,1
1492,3,1492,1,368,1
1495,3,1495,2,369,1
1498,3,1498,2,370,1
1498,4,1498,2,370,1
1500,3,1500,2,371,1
1503,4,1503,2,372,1
1503,5,1503,2,372,1
1506,3,1506,2,373,1
1506,4,1506,2,373,1
1508,2,1508,1,374,1
1508,3,1508,1,374,1
1513,4,1513,2,375,1
1514,3,1514,2,376,1
1521,2,1521,1,377,1
1529,3,1529,2,378,1
1529,4,1529,2,378,1
1531,3,1531,1,379,1
1534,3,1534,2,380,1
1534,5,1534,2,380,1
1537,3,1537,2,381,1
1537,4,1537,2,381,1
1549,2,1549,1,382,1
1554,7,1554,2,383,1
1554,8,1554,2,383,1
1562,3,1562,2,384,1
1563,3,1563,2,385,1
1563,4,1563,2,385,1
1564,3,1564,2,386,1
1564,4,1564,2,386,1
1566,5,1566,4,387,2
1566,6,1566,2,387,1
1570,4,1570,2,388,1
1576,4,1576,2,389,1
1576,5,1576,2,389,1
1587,3,1587,1,390,1
1588,3,1588,2,391,1
1595,4,1595,3,392,2
1595,5,1595,2,392,1
1596,2,1596,1,393,1
1596,3,1596,1,393,1
1597,3,1597,2,394,1
1598,4,1598,2,395,1
1601,3,1601,2,396,1
1601,4,1601,2,396,1
1608,4,1608,2,397,1
1608,5,1608,2,397,1
1609,5,1609,3,398,1
1611,3,1611,2,399,1
1611,4,1611,2,399,1
1614,3,1614,2,400,1
1614,5,1614,2,400,1
1633,3,1633,2,401,1
1636,4,1636,2,402,1
1636,5,1636,2,402,1
1637,3,1637,2,403,1
1637,4,1637,2,403,1
1640,3,1640,2,404,1
1643,3,1643,1,405,1
1643,4,1643,1,405,1
1652,3,1652,2,406,1
1654,3,1654,2,407,1
1654,4,1654,2,407,1
1655,3,1655,2,408,1
1655,4,1655,2,408,1
1656,3,1656,2,409,1
1659,3,1659,2,410,1
1659,4,1659,2,410,1
1670,3,1670,2,411,1
1671,3,1671,2,412,1
1678,3,1678,1,413,1
1681,4,1681,1,414,1
1681,5,1681,1,414,1
1685,3,1685,2,415,1
1685,4,1685,2,415,1
1695,4,1695,2,416,1
1696,3,1696,2,417,1
1696,4,1696,2,417,1
1697,3,1697,2,418,1
1701,2,1701,1,419,1
1701,3,1701,1,419,1
1715,4,1715,1,420,1
1721,3,1721,2,421,1
1722,5,1722,1,422,1
1726,4,1726,2,423,1
1726,5,1726,2,423,1
1727,4,1727,2,424,1
1727,5,1727,2,424,1
1732,3,1732,2,425,1
1760,3,1760,2,426,1
1762,2,1762,1,427,1
1762,3,1762,1,427,1
1765,4,1765,2,428,1
1765,6,1765,2,428,1
1777,2,1777,1,429,1
1777,3,1777,1,429,1
1778,3,1778,2,430,1
1778,4,1778,2,430,1
1787,3,1787,2,431,1
1787,4,1787,2,431,1
1788,3,1788,2,432,1
1790,3,1790,1,433,1
1790,4,1790,1,433,1
1791,5,1791,2,434,1
1792,7,1792,2,435,1
1792,9,1792,2,435,1
1794,3,1794,1,436,1
1795,2,1795,1,437,1
1798,3,1798,2,438,1
1800,4,1800,2,439,1
1802,4,1802,2,440,1
1812,5,1812,2,441,1
1814,4,1814,2,442,1
1818,3,1818,2,443,1
1818,4,1818,2,443,1
1820,3,1820,2,444,1
1822,4,1822,1,445,1
1822,5,1822,1,445,1
1830,3,1830,2,446,1
1830,4,1830,2,446,1
1837,3,1837,2,447,1
1837,4,1837,2,447,1
1839,5,1839,2,448,1
1858,2,1858,1,449,1
1864,4,1864,2,450,1
1866,3,1866,2,451,1
1866,4,1866,2,451,1
1869,3,1869,2,452,1
1869,4,1869,2,452,1
1877,3,1877,2,453,1
1877,4,1877,2,453,1
1879,4,1879,2,454,1
1879,5,1879,2,454,1
1882,3,1882,1,455,1
1882,4,1882,1,455,1
1886,4,1886,2,456,1
1886,6,1886,2,456,1
1891,4,1891,2,457,1
1891,5,1891,2,457,1
1900,3,1900,2,458,1
1900,5,1900,2,458,1
1902,4,1902,2,459,1
1902,5,1902,2,459,1
1904,2,1904,1,460,1
1906,3,1906,1,461,1
1906,4,1906,1,461,1
1907,3,1907,1,462,1
1907,4,1907,1,462,1
1909,3,1909,2,463,1
1910,5,1910,4,464,1
1915,3,1915,2,465,1
1915,4,1915,2,465,1
1919,5,1919,2,466,1
1919,6,1919,2,466,1
1921,3,1921,2,467,1
1921,5,1921,2,467,1
1926,3,1926,2,468,1
1928,4,1928,2,469,1
1928,5,1928,2,469,1
1932,3,1932,2,470,1
1932,4,1932,2,470,1
1943,4,1943,2,471,1
1944,2,1944,1,472,1
