DEMREL97,DEMID97,DEMSN97,CHRACE,CHIWMON,CHIWDAY,CHIWYR,AGEATCH,AGEATPCG,PCGIWMON,PCGIWDAY,PCGIWYR,HOMESCHL,NEWIMMI,PCG,OCG,RELPCG97,RELOCG97,CH97PRWT,CH97HHWT,PCGHHBWT,OCGCHBWT,OCGHHBWT,SUBSELWT,SBLNUM97,BIOPR97,BIOGPR97
6,4731,3,7,0,0,0,0,44,5,1,1997,5,5,3,3,7,0,3.221,3.221,5.29,0,0,1,96,4,2
6,151,2,1,0,0,0,0,25.799999,10,23,1997,5,5,1,0,1,0,17.937,17.937,0,0,0,1,0,2,2
6,367,3,1,0,0,0,0,119,5,8,1997,5,5,1,1,1,4,20.094,20.094,30.52,36.583,40.053001,1,1,1,2
6,4601,3,1,0,0,0,0,102.4,5,6,1997,5,5,1,1,1,4,23.084999,23.084999,35.749001,36.806,39.271999,1,1,1,2
6,367,4,1,0,0,0,0,79.400002,5,8,1997,5,5,1,1,1,4,20.094,20.094,30.52,36.583,40.053001,1,1,1,2
6,2732,3,1,3,27,1997,82.300003,82.300003,3,27,1997,5,5,1,1,1,0,22.937,22.937,31.417999,0,0,1,1,1,2
6,2732,4,1,3,27,1997,51.299999,51.299999,3,27,1997,5,5,1,1,1,0,22.937,22.937,31.417999,0,0,1,1,1,2
6,4601,4,1,0,0,0,0,12.4,5,6,1997,5,5,1,1,1,4,23.084999,23.084999,35.749001,36.806,39.271999,1,1,1,2
6,5905,3,1,0,0,0,0,7.6999998,10,12,1997,5,5,1,1,1,4,29.702,29.702,45.995998,47.355999,0,1,0,1,2
6,1273,3,1,3,17,1997,97.900002,97.900002,3,17,1997,5,5,1,1,1,4,15.143,15.143,24.978001,27.448999,28.030001,1,1,1,2
6,1273,4,1,3,17,1997,81.199997,81.199997,3,17,1997,5,5,1,1,1,4,15.143,15.143,24.978001,27.448999,28.030001,1,1,1,2
6,475,3,1,3,16,1997,47.5,47.5,3,16,1997,5,5,1,1,1,0,20.396999,20.396999,0,0,0,1,1,1,2
6,475,4,1,0,0,0,0,23.299999,3,16,1997,5,5,1,1,1,0,20.396999,20.396999,0,0,0,1,1,1,2
6,228,3,1,5,22,1997,106,104.8,4,15,1997,5,5,1,1,1,6,19.487,19.487,29.598,35.477001,38.842999,1,1,2,2
6,228,4,1,0,0,0,0,7.5999999,4,21,1997,5,5,1,1,1,4,19.487,19.487,29.598,35.477001,38.842999,1,1,1,2
6,2696,2,1,4,11,1997,151.60001,151.60001,4,11,1997,5,5,1,0,1,0,16.447001,16.447001,23.132,0,0,1,0,2,2
6,3378,4,1,4,22,1997,126.2,126.2,4,22,1997,5,5,1,1,1,4,11.001,11.001,15.472,17.018999,18.781,1,1,1,2
6,5033,3,1,5,15,1997,101.3,101.3,5,15,1997,5,5,1,1,2,4,12.717,12.717,20.884001,25.448,22.875,1,1,3,2
6,5033,4,1,5,15,1997,71.800003,71.800003,5,15,1997,5,5,1,1,2,4,12.717,12.717,20.884001,25.448,22.875,1,1,3,2
6,3530,5,1,6,15,1997,62.299999,62.299999,6,15,1997,5,5,1,1,1,4,10.545,10.545,16.216,18.202999,18.292,1,2,1,0
6,5034,4,7,5,15,1997,49.5,49.5,5,15,1997,5,5,1,1,1,4,15.36,15.36,25.224001,30.736,27.629,1,1,1,2
6,4739,5,1,0,0,0,0,1.9,5,15,1997,5,5,1,1,1,4,8.3199997,8.3199997,12.795,14.363,14.433,1,2,1,2
6,457,3,1,4,9,1997,70.699997,70.699997,4,9,1997,5,5,1,1,1,0,13.631,13.631,0,0,0,1,1,1,2
6,457,4,1,0,0,0,0,14.5,4,9,1997,5,5,1,1,1,0,13.631,13.631,0,0,0,1,1,1,2
6,5104,3,1,5,17,1997,107.3,107.3,5,17,1997,5,5,1,1,1,4,49.436001,32.957001,81.418999,109.582,100.495,1.5,2,1,2
6,5104,5,1,5,17,1997,51.200001,51.200001,5,17,1997,5,5,1,1,1,4,49.436001,32.957001,81.418999,109.582,100.495,1.5,2,1,2
6,1460,3,1,0,0,0,0,10.6,6,30,1997,5,5,1,1,1,4,23.653999,23.653999,31.799999,38.558998,38.470001,1,0,1,2
6,2817,3,7,5,5,1997,50,50,5,5,1997,5,5,1,1,1,4,25.330999,25.330999,34.696999,46.215,47.056,1,0,1,2
6,3189,4,1,5,13,1997,132.60001,132.60001,5,13,1997,1,5,1,1,1,4,26.111,26.111,35.103001,42.563999,42.465,1,2,1,2
6,1359,2,1,4,5,1997,103.1,103.1,4,5,1997,5,5,2,0,4,0,29.695999,29.695999,45.104,0,0,1,96,3,0
6,1837,3,1,3,22,1997,82.699997,82.800003,3,26,1997,5,5,1,1,1,10,7.0599999,7.0599999,9.9490004,11.436,11.809,1,1,2,2
6,1837,4,1,3,22,1997,55.299999,55.400002,3,26,1997,5,5,1,1,1,10,7.0599999,7.0599999,9.9490004,11.436,11.809,1,1,2,2
6,3876,3,1,9,17,1997,125.7,125.7,9,17,1997,5,5,1,0,1,0,25.531,25.531,0,0,0,1,1,1,2
6,3876,4,1,9,17,1997,108.5,108.5,9,17,1997,5,5,1,0,1,0,25.531,25.531,0,0,0,1,1,1,2
6,3906,3,1,9,24,1997,123.3,123.3,9,24,1997,5,5,1,1,1,4,23.989,23.989,41.653,41.175999,44.472,1,10,1,2
6,5546,3,1,0,0,0,0,10.3,6,11,1997,5,5,1,1,1,0,12.925,12.925,0,0,0,1,0,1,2
6,1174,3,1,4,30,1997,71.300003,71.300003,4,30,1997,5,5,1,1,1,0,19.849001,19.849001,0,0,0,1,0,1,2
6,674,3,1,6,11,1997,59.099998,59.099998,6,11,1997,5,5,1,1,3,6,26.672001,26.672001,0,45.780998,49.445999,1,0,4,0
6,674,4,1,0,0,0,0,18.4,6,11,1997,5,5,1,1,1,4,26.672001,26.672001,0,45.780998,49.445999,1,0,1,2
6,3348,3,1,5,6,1997,47.099998,47.099998,5,6,1997,5,5,1,1,1,4,20.622,20.622,27.724001,33.617001,33.539001,1,1,1,2
6,3348,4,1,0,0,0,0,6.6999998,5,6,1997,5,5,1,1,1,4,20.622,20.622,27.724001,33.617001,33.539001,1,1,1,2
