EMSAREL97,EMSAID97,EMSASN97,Q12A1,Q12A2A,Q12A2B,Q12A2C,Q12A2D,Q12A2E,Q12A2F,Q12A2G,Q12A2H,Q12A2I,Q12A2J,Q12A2K,Q12A2L,Q12A2M,Q12A2N,Q12A2O,Q12A2P,Q12A3,Q12A4,Q12A5,Q12A6A,Q12A6B,Q12A6C,Q12A6D,Q12A6E,Q12A6F,Q12A7A,Q12A7B,Q12A7C,Q12A7D,Q12A7E,Q12A8,Q12A9,Q12A10,Q12A11,Q12A12,Q12A13,Q12A14,Q12A15,Q12A16,Q12A17,Q12A18,Q12A19T,Q12A19S,Q12A20AN,Q12A20AP,Q12A20BN,Q12A20BP,Q12A20CN,Q12A20CP,Q12A20DN,Q12A20DP,Q12A20EN,Q12A20EP,Q12A20FN,Q12A20FP,Q12A21AN,Q12A21AP,Q12A21BN,Q12A21BP,Q12A21CN,Q12A21CP,Q12A21DN,Q12A21DP,Q12A21EN,Q12A21EP,Q12A21FN,Q12A21FP,Q12A21GN,Q12A21GP,Q12A21HN,Q12A21HP,Q12A22A,Q12A22B,Q12A22C,Q12A23,Q12A24,Q12A25,Q12A26,Q12A27,Q12A28,Q12A28A,Q12A28B,Q12A28C,Q12A28D,Q12A29A,Q12A29B,Q12A29C,Q12A29D,Q12A29E,Q12A29F,Q12A29G,Q12A30A,Q12A30B,Q12A30C,Q12A30D,Q12A30E,Q12A31A,Q12A31B,Q12A31C,Q12A31D,Q12A31E,Q12A31F,Q12A31G,Q12A31H,Q12A32,PRESCHL
3,313,3,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,2,302,5,274,21,0,7,0,0,0,0,0,66,999,7,2,1,5,5,5,18,18,2,2,0,1,21.5,18,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,99,99,18,0,1,99999,99999,99999,5,0,0,0,0,2,2,1,2,1,2,1,1,5,5,5,5,1,1,1,1,1,1,1,1,180,0
3,4113,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,692,50,7,674,8,3,0,0,9999,9999,2,671,999,11,8,1,1,5,1,40,40,10,10,0,1,17.299999,20,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,17,0,0,0,0,0,8,99,99,7,6,28000,99999,21,5,0,0,0,0,2,4,3,2,2,2,1,1,5,5,5,5,2,2,2,1,1,2,1,2,180,0
3,4113,3,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,692,50,7,674,8,3,0,0,9999,9999,2,671,999,11,8,1,1,5,1,40,40,10,10,0,1,17.299999,20,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,17,0,0,0,0,0,8,99,99,7,6,28000,99999,21,5,0,0,0,0,2,4,3,2,2,2,1,1,5,5,5,5,2,2,2,1,1,2,1,2,180,0
3,1886,6,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1044,25,470,574,0,0,0,0,0,0,0,867,0,3,5,1,1,5,5,58,58,58,58,0,1,19,0,97,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,5,0,0,0,0,99,99,58,3,1,99999,99999,99999,5,0,0,0,0,2,1,1,1,1,2,1,1,5,5,5,1,1,1,1,1,1,1,1,1,180,0
3,1415,5,1,5,5,5,5,5,5,5,1,1,1,5,5,5,5,1,5,1,359,75,7,348,9999,999,999,999,0,0,0,280,2,20,8,1,5,1,1,25,25,2,2,0,1,14,7.5,0,17.5,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,15,0,84.959999,0,.039999999,0,0,2,0,25,2,1,22000,28000,1700,5,0,0,0,0,2,3,2,2,1,2,1,1,5,5,5,1,2,1,2,1,2,2,1,3,183,0
3,4799,5,1,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,2,737,999,206,509,0,22,0,0,0,29,0,442,0,30,3,1,1,5,5,51,51,5,5,0,1,32,30,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,27,0,2,0,0,0,9,99,99,2,0,22961,99999,99999,5,0,0,0,0,2,3,2,2,1,2,1,1,5,5,5,1,1,1,1,1,1,1,1,1,180,0
3,5434,3,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,633,36,23,605,0,5,0,0,9999,9999,5,399,443,18,2.3,1,1,5,5,40,40,99,7,5,1,25,14,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,0,1,0,0,0,40,99,99,2,1,23000,35000,99999,5,0,0,0,0,2,4,3,1,1,2,2,1,5,5,5,5,2,1,1,1,1,1,1,1,180,0
3,5007,6,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,1,525,15,11,499,11,5,0,0,9999,0,17,462,0,39,8,1,1,1,1,36,36,12,12,5,1,17.5,2,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,999,2,0,0,0,0,0,4,12,99,3,2,28000,39000,6200,5,0,0,0,0,2,2,1,1,1,2,2,1,1,5,5,5,2,3,3,1,1,2,1,2,180,0
3,5007,3,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,1,525,15,11,499,11,5,0,0,9999,0,17,462,0,39,8,1,1,1,1,36,36,12,12,5,1,17.5,2,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,999,2,0,0,0,0,0,4,12,99,3,2,28000,39000,6200,5,0,0,0,0,2,2,1,1,1,2,2,1,1,5,5,5,2,3,3,1,1,2,1,2,180,0
3,60,4,1,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,559,37,72,479,0,0,0,8,0,0,0,311,28,5,1,1,1,5,1,35,35,12,12,0,1,24,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,13,0,0,0,0,0,2,0,35,4,2,21000,29253,3996,5,0,0,0,0,2,1,2,2,1,1,1,1,5,5,5,5,2,1,1,1,1,1,1,2,178,0
3,3019,2,1,5,5,5,5,5,1,1,1,5,5,5,5,5,5,1,5,1,750,15,345,398,4,3,0,0,0,0,0,440,5,20,5,1,1,5,5,48,48,11,11,0,1,16,28,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,8,0,0,0,0,0,4,48,48,0,0,25200,32000,3600,5,0,0,0,0,3,3,3,2,1,2,3,1,5,5,5,5,3,1,2,1,1,2,1,2,178,0
3,6060,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,1,950,60,30,900,15,0,0,5,9999,9999,5,920,999,62,10,1,1,5,1,68,67,24,24,0,1,23,0,45,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,10,0,0,0,0,5,99,99,10,7,29000,36000,90,5,0,0,0,0,2,2,2,2,1,2,1,1,5,5,5,5,2,1,2,1,1,1,1,1,180,0
3,5754,3,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,153,7,0,152,1,0,0,0,0,0,0,9999,999,15,2,1,1,1,1,10,10,2,0,0,1,15.3,7,0,3,0,0,0,0,0,0,0,0,0,10,0,99,99,99,999,9,99,99,999,99,999,99,9,99,99,99,99,99,3,5,19500,25000,300,1,600,5,5,1,2,2,2,1,1,1,2,1,5,5,5,5,2,1,1,1,1,1,1,1,176,0
3,5113,3,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,2,690,10,389,132,98,69,2,0,9999,31,31,155,44,12.7,1,1,5,1,1,35,35,7,7,0,1,26.299999,39,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,0,0,0,0,0,8,99,99,1,1,29512,99998,99998,5,0,0,0,0,2,4,3,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,185,0
3,194,6,1,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,1,510,12,224,281,0,0,5,0,0,0,0,332,0,2.5,10,1,1,5,1,35,35,10,10,0,1,25,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,33,0,0,0,0,7,99,99,1,0,21500,30000,30,5,0,0,0,0,1,1,2,1,1,1,1,1,5,5,5,5,1,1,2,1,1,1,1,2,180,0
3,4377,4,1,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,657,24,342,309,0,0,0,7,0,3,12,348,0,0,30,1,1,5,5,53,47,4,4,0,1,16,48,0,5,0,98,98,98,98,98,98,9,9,98,8,99,99,98,998,8,98,99,999,99,999,99,9,99,99,99,99,15,5,4,21820,99999,99999,5,0,0,0,0,2,1,2,2,2,2,2,1,5,5,5,5,2,1,1,1,1,1,1,2,187,0
3,6116,4,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,2,351,15,25,326,0,0,0,0,0,0,309,4,2,1,1,5,1,5,1,20,20,4,4,0,1,17.6,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,1,0,15,20,99,3,3,26000,30000,5374,5,0,0,0,0,2,1,1,1,1,1,1,1,5,5,5,5,2,2,1,1,1,1,1,2,175,0
3,4616,2,1,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,2,266,18,195,71,0,0,0,0,9999,9999,999,9999,999,3.7,10,1,5,5,1,21,11,1,1,0,1,13,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,10,0,0,3,2,20000,29250,5110,5,0,0,0,0,2,1,2,1,2,2,1,1,5,5,5,1,2,2,2,1,1,2,1,2,180,0
3,4616,3,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,642,34,450,187,3,0,2,0,0,0,0,428,0,3,2,1,1,1,1,40,40,19,19,0,1,16,31,0,9,0,0,0,0,0,0,0,0,0,99,9,99,99,99,999,9,99,32,0,6,0,99,9,2,0,3,0,0,2,0,99998,99998,99998,5,0,0,0,0,2,8,3,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,180,0
3,5405,3,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,225,6,162,61,2,0,0,0,0,0,5,0,0,4,0,5,5,1,1,12,9,4,3,0,1,22,28,0,99,999,99,99,99,99,99,99,9,9,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,1,0,1,2,17000,24500,3100,1,2600,6,5,1,2,1,1,1,1,1,2,1,5,5,5,1,1,1,1,1,1,1,1,9,176,0
3,3762,4,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,2,263,12,63,193,4,3,0,0,0,0,0,250,0,20,5,1,1,5,5,22,22,10,10,99,1,20,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0,0,0,0,0,99,99,99,2,4,99999,99999,4000,5,0,0,0,0,3,2,3,2,1,2,2,1,5,5,5,5,1,1,2,1,1,1,1,1,175,0
3,4924,2,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,2,263,12,63,193,4,3,0,0,0,0,0,250,0,20,5,1,1,5,5,22,22,10,10,99,1,20,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0,0,0,0,0,99,99,99,2,4,99999,99999,4000,5,0,0,0,0,3,2,3,2,1,2,2,1,5,5,5,5,1,1,2,1,1,1,1,1,175,0
3,3762,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,2,263,12,63,193,4,3,0,0,0,0,0,250,0,20,5,1,1,5,5,22,22,10,10,99,1,20,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0,0,0,0,0,99,99,99,2,4,99999,99999,4000,5,0,0,0,0,3,2,3,2,1,2,2,1,5,5,5,5,1,1,2,1,1,1,1,1,175,0
3,5514,5,1,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,690,20,414,207,69,0,0,0,0,0,0,449,35,5,3,1,1,5,5,36,36,5,4,7,1,23,998,998,98,998,98,98,98,98,98,98,8,8,0,0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,36,36,99,3,1,99999,99999,20,5,0,0,0,0,2,1,2,2,1,2,3,1,5,5,5,5,1,1,1,1,1,1,1,1,180,0
3,1822,4,1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,1,286,35,193,93,0,0,0,0,0,0,0,129,30,1,99,1,5,5,5,19,19,1,1,0,1,18,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.599998,0,47.400002,0,0,0,0,99,99,99,3,0,22735,29762,99999,5,0,0,0,0,2,4,3,4,1,2,1,1,5,5,5,5,2,1,1,1,1,1,1,2,180,0
3,2960,3,1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,1,286,35,193,93,0,0,0,0,0,0,0,129,30,1,99,1,5,5,5,19,19,1,1,0,1,18,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.599998,0,47.400002,0,0,0,0,99,99,99,3,0,22735,29762,99999,5,0,0,0,0,2,4,3,4,1,2,1,1,5,5,5,5,2,1,1,1,1,1,1,2,180,0
3,3225,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,5,1,1031,105,0,928,103,0,0,0,3,50,30,931,60,8,2,1,1,5,1,60,60,15,15,3,1,17.200001,0,42,0,52,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,90,0,0,0,0,0,0,1,1,2,28000,43000,400,5,0,0,0,0,1,2,2,2,1,1,1,1,1,5,5,5,2,1,2,1,1,1,1,2,182,0
3,3225,4,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,5,1,1031,105,0,928,103,0,0,0,3,50,30,931,60,8,2,1,1,5,1,60,60,15,15,3,1,17.200001,0,42,0,52,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,90,0,0,0,0,0,0,1,1,2,28000,43000,400,5,0,0,0,0,1,2,2,2,1,1,1,1,1,5,5,5,2,1,2,1,1,1,1,2,182,0
3,3401,3,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,290,999,1,289,0,0,0,0,0,0,0,174,6,0,2,1,1,5,1,17,17,6,6,0,1,25,1,0,0,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,95,0,0,0,0,99,99,99,1,1,26000,25000,99999,5,0,0,0,0,3,2,2,2,2,2,1,1,5,5,5,1,2,3,2,1,1,1,1,2,180.5,0
3,1777,2,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,483,20,189,143,53,96,2,0,9999,45,32,12,20,98,.5,1,5,5,5,22,21,5,0,0,1,32,17,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,2,0,0,3,2,26900,99998,99998,5,0,0,0,0,2,3,3,2,2,2,2,1,5,5,5,5,3,2,2,1,1,1,1,2,169,0
