FOHCRL97,FOHCID97,FOHCSN97,Q7A0,Q7A1,Q7A2,Q7A3M,Q7A3Y,Q7A4M,Q7A4Y,Q7A5,Q7A6,Q7A7,Q7A8,Q7A9A,Q7A9B,Q7A9C,Q7A9D,Q7A9E,Q7A9F,Q7A9G,Q7A9H,Q7A9I,Q7A9J,Q7A10A,Q7A10B,Q7A10C,Q7A10D,Q7A10E,Q7A10F,Q7A11A,Q7A11B,Q7A11C,Q7A11D,Q7A11E,Q7A12,Q7B0,Q7B0T,Q7B1A,Q7B1B,Q7B1C,Q7B1D,Q7B1E,Q7B2A,Q7B2B,Q7B2C,Q7B2D,Q7B2E,Q7B2F,Q7B2G,Q7B2H,Q7B2I,Q7B2J,Q7B3A,Q7B3B,Q7B3C,Q7B3D,Q7B4,Q7B5A,Q7B5B,Q7B5C,Q7B5D,Q7B5E,Q7B5F,Q7B6A,Q7B6B,Q7B6C,Q7B6D,Q7B6E,Q7B6F,Q7B6G,Q7B6H,Q7B6I,Q7B6J,Q7B6K,Q7B6L,Q7B6M,Q7B7,Q7B7T,Q7B8A,Q7B8B,Q7B8C,Q7B8D,Q7B8E,Q7B8F,Q7B8G,Q7B8H,Q7B8I,Q7B8J,Q7B8K,Q7B8L,Q7B8M,Q7B8N,Q7B8O,Q7B8P,Q7B8Q,Q7B8R,Q7B8S,Q7B8T,Q7B8U,Q7B8V,Q7B8W,Q7B8X,Q7B8Y,Q7B8Z,Q7B8AA,Q7B8BB,Q7B8CC,Q7B8DD,Q7B9A,Q7B9B,Q7B9C,Q7B9D,Q7B9E,Q7B9F,Q7B9G,Q7B9H,Q7B9I,Q7B9J,Q7B10,Q7B11A,Q7B11B,Q7B11C,Q7B11D,Q7B12A,Q7B12B,Q7B12C,Q7B12D,Q7B12E,Q7B12F,Q7B12G,Q7B12H,Q7B12I,Q7B12J,Q7B12K,Q7B13A,Q7B13B,Q7B13C,Q7B13D,Q7B13E,Q7B13F,Q7B13G,Q7B13H,Q7B13I,Q7B14A,Q7B14B,Q7B14C,Q7B15A,Q7B15B,Q7B16A,Q7B16B,Q7B16C,Q7B16D,Q7B16E,Q7B16F,Q7B16G,Q7B16H,Q7B17,Q7B18,Q7B19,Q7B20
3,5416,2,69000,1,1,9,1995,6,1997,1,100,2,3,2,2,2,2,2,3,4,4,4,4,1,5,1,1,1,5,2,4,3,2,1,2,2,99999,1,5,5,5,5,1,1,5,5,1,1,1,5,1,5,6,5,6,1,1,5,5,4,5,5,5,3,4,4,5,4,5,4,4,4,3,3,3,3,1,99999,2,3,2,2,2,3,2,3,2,1,3,3,3,3,3,2,2,2,1,1,1,1,1,1,2,3,3,3,3,3,5,3,3,5,3,4,3,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,7,1,2,70440
3,5416,3,70440,1,1,9,1995,6,1995,1,25,2,3,1,1,1,2,2,3,4,4,4,4,1,9,1,1,1,5,3,2,2,2,1,2,2,99999,1,5,5,5,5,1,1,5,5,1,1,1,5,1,5,6,5,6,9,1,5,5,5,5,5,5,3,2,3,3,4,4,3,5,4,3,1,1,3,2,71040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,291,2,36000,450,3,98,1994,2,1997,3,34,2,2,4,2,3,3,3,4,4,4,2,3,1,5,1,1,5,9,3,2,2,2,1,6,2,99999,5,5,5,1,5,1,1,5,5,5,5,5,5,5,5,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999,2,2,2,2,2,2,2,3,9,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,9,2,2,2,2,3,3,3,3,3,3,3,4,2,2,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,1,3,2,2,2,0,2,1,2,5,4,39900
3,2468,3,66420,30,3,11,1985,11,1997,1,26,2,2,4,3,3,3,3,4,4,4,4,4,1,5,5,1,1,5,2,2,1,1,1,2,2,99999,1,5,5,5,5,1,1,5,1,5,1,1,1,1,5,4,1,4,4,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,99999,3,3,3,3,3,3,1,2,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,5,5,4,5,3,5,4,5,5,5,1,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,4,4,4,3,3,1,1,1,2,2,1,1,1,4,4,3,67440
3,2468,4,65040,30,3,11,1985,11,1997,1,26,2,2,4,4,4,4,4,4,4,4,3,3,1,5,5,1,1,5,1,2,1,1,1,2,2,99999,1,5,5,5,5,1,1,5,1,5,1,1,1,1,5,4,1,4,4,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,99999,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,5,5,5,5,4,5,5,4,5,5,1,5,5,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,1,1,1,0,3,3,3,3,3,1,1,1,1,1,1,1,1,4,5,2,66360
3,3990,2,70800,120,2,7,1995,11,1997,1,60,2,2,3,3,3,3,3,3,4,4,3,4,1,1,1,1,1,5,2,1,1,2,1,5,2,99999,5,5,5,1,5,1,1,5,5,5,5,5,5,1,1,3,2,4,4,1,2,4,4,4,4,4,3,1,3,3,4,3,1,3,3,1,1,4,3,1,99999,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,1,3,5,3,5,4,5,5,5,5,5,1,1,5,1,5,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,3,4,4,4,3,3,1,2,2,2,2,1,2,2,98,5,1,72000
3,3990,3,72000,120,2,7,1995,11,1997,1,60,2,2,3,3,3,3,3,3,4,4,3,4,1,1,1,1,1,5,3,2,1,2,1,2,2,99999,5,5,5,1,5,1,1,5,5,5,5,5,5,1,1,3,2,4,4,1,2,4,4,4,4,4,3,1,3,3,4,3,1,3,3,1,1,2,3,1,99999,2,2,3,2,3,2,2,3,2,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,9,5,5,5,5,5,1,5,5,1,5,1,1,1,1,1,9,1,1,1,1,1,0,0,0,0,0,0,0,0,3,4,4,4,2,3,1,2,2,3,2,1,2,2,98,5,1,72900
3,2058,5,50820,11,2,12,1995,4,1997,2,0,2,2,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,8,1,5,1,5,6,1,51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2586,2,63840,5,3,0,0,4,1997,4,0,2,2,4,4,4,4,4,4,4,4,3,3,1,1,5,1,1,1,1,1,1,1,1,6,1,64200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2182,3,42000,40,6,7,1991,5,1997,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,2,99999,5,5,5,1,5,1,1,5,1,1,1,5,1,1,5,3,3,3,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,3,1,2,1,2,1,99999,1,2,3,2,2,3,3,3,2,3,1,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,4,5,5,4,5,5,5,4,4,5,1,5,5,1,5,1,1,1,3,1,1,3,9,1,1,1,3,0,0,0,1,1,1,1,1,4,4,4,3,3,2,2,1,2,1,1,1,2,1,5,1,43800
3,2182,4,39900,40,6,7,1991,5,1997,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,2,99999,5,5,5,1,5,1,1,5,1,1,1,5,1,1,5,3,3,3,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,3,1,2,1,2,1,99999,2,2,3,3,2,3,2,2,3,3,3,2,3,2,2,3,3,3,3,2,2,3,2,3,3,2,3,3,2,2,4,5,3,3,5,4,5,4,4,3,1,1,1,1,5,1,1,1,3,1,1,3,3,1,1,1,3,0,0,0,1,1,1,1,1,4,4,4,3,3,1,2,1,2,1,1,1,2,2,5,1,42000
3,5448,6,75900,3,2,1,1995,6,1997,3,75,2,1,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,1,5,4,1,1,2,2,99999,5,5,5,1,5,1,1,5,1,1,1,5,1,5,5,3,3,4,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,99999,2,3,2,3,3,3,2,2,2,9,3,2,2,3,3,3,1,2,2,2,3,3,2,2,1,2,3,3,2,3,4,3,2,5,3,4,5,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,2,1,5,2,1,77100
3,5448,7,77100,3,3,0,0,6,1997,3,3,2,2,4,4,2,4,4,4,4,4,4,4,1,5,5,5,5,5,4,1,1,1,1,2,1,77400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5461,2,72300,60,3,6,1996,10,1997,2,180,2,2,3,3,3,1,1,3,4,4,1,4,1,5,5,1,1,5,1,1,1,1,1,2,2,99999,1,5,5,5,5,1,1,5,1,5,1,1,5,1,5,2,2,4,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,99999,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,5,5,5,2,5,5,5,5,5,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,4,4,4,2,3,1,1,2,2,1,2,2,2,6,3,1,36840
3,5461,3,36840,60,3,6,1996,10,1997,3,180,2,2,3,2,2,1,1,1,4,2,2,1,1,5,5,1,1,5,1,1,1,1,1,2,2,99999,1,5,5,5,5,1,1,1,1,5,1,1,5,1,5,4,1,4,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2,2,1,99999,2,3,3,3,3,2,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,5,5,2,5,5,5,5,5,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,2,2,2,2,2,2,10,3,1,37800
3,3513,2,72300,3,3,0,0,4,1997,1,75,2,3,2,1,1,4,4,4,4,4,4,4,1,1,1,1,1,5,1,2,1,1,1,5,2,99999,5,5,5,1,5,1,1,1,5,5,1,1,5,1,5,4,1,4,4,1,3,4,2,4,4,4,2,2,3,2,4,2,2,2,1,2,1,3,2,1,99999,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,5,5,5,5,4,5,4,4,5,5,1,5,5,1,5,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,4,3,3,1,1,1,1,1,1,2,1,5,3,1,73200
3,1587,3,54600,40,1,1,1997,5,1997,1,365,2,3,4,4,3,4,4,4,4,2,4,3,1,1,1,1,5,5,1,1,1,1,1,4,2,99999,5,5,5,1,5,1,5,1,5,5,5,5,5,1,5,4,1,4,5,1,4,4,2,4,4,4,1,1,2,2,4,2,2,3,2,1,2,2,2,1,99999,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,5,3,5,5,5,5,5,1,1,1,1,5,1,2,1,2,2,1,2,3,2,1,1,3,1,1,1,1,1,1,1,1,4,4,4,3,3,1,1,1,2,1,1,1,3,15,2,1,56100
3,1402,4,74700,1.5,1,98,9998,4,1997,1,156,2,3,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,9,1,2,2,1,1,6,2,99999,5,5,5,1,5,5,1,5,5,1,5,5,5,1,1,5,3,6,3,1,4,2,2,4,4,4,1,1,3,4,3,1,1,1,1,1,1,2,2,1,99999,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,5,5,3,4,4,4,5,5,5,4,1,1,1,1,5,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,2,76620
3,2938,2,54180,230,3,3,1994,5,1997,3,20,2,1,4,4,4,4,4,4,4,4,4,4,1,5,1,5,5,5,1,1,2,1,1,6,2,99999,1,5,5,5,5,1,5,1,5,1,1,1,5,1,1,3,1,3,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,99999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,4,5,4,5,5,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,55080
3,5264,3,36900,300,3,1,1993,10,1997,1,80,2,2,4,4,4,4,4,4,4,4,4,4,1,5,5,1,1,1,1,1,1,1,1,6,2,99999,5,5,5,1,5,1,1,5,5,5,5,5,5,1,5,4,1,6,3,1,2,3,2,4,4,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,99999,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,2,3,5,5,5,3,4,5,4,5,5,1,5,5,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,3,3,1,2,2,2,2,2,2,2,98,5,1,37800
3,1643,4,72000,8,2,10,1995,4,1997,1,45,2,2,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,1,2,3,2,1,6,2,99999,5,5,5,1,5,1,1,1,1,1,5,1,5,1,5,6,5,6,1,1,4,4,4,4,4,4,1,1,3,3,1,2,3,1,1,1,1,2,1,1,99999,2,3,2,3,2,2,2,3,3,3,3,3,2,3,3,2,2,2,2,3,3,3,2,3,2,2,3,3,3,3,5,3,4,5,3,5,4,5,4,5,1,5,1,1,5,1,1,1,1,1,1,3,2,2,1,1,2,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,5,4,2,72900
3,1643,3,70200,8,1,9,1995,4,1997,1,25,2,2,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,3,2,1,1,1,2,99999,5,5,5,1,5,1,1,1,1,1,5,1,5,1,5,5,5,6,5,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99999,3,3,3,3,3,3,2,3,2,3,2,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,3,3,3,3,5,3,3,5,3,3,3,4,5,2,1,5,5,1,5,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,4,3,71100
3,5002,2,75600,10,1,1,1997,10,1997,1,365,2,2,2,2,2,3,2,2,4,2,2,4,1,5,1,1,1,5,2,5,1,3,1,2,2,99999,1,5,5,5,5,1,1,1,5,5,1,1,5,1,5,6,4,6,9,1,4,4,4,4,4,4,2,4,4,5,4,2,2,1,4,2,4,1,4,1,99999,1,3,1,3,2,1,1,1,3,2,3,3,2,9,3,9,2,2,2,1,2,3,2,2,2,2,2,3,9,2,3,3,2,4,1,4,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,0,2,3,0,9,1,77040
3,1298,3,74100,3000,3,3,1988,5,1997,3,20,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,5,1,1,1,1,1,7,2,99999,5,5,5,1,5,1,1,1,1,1,1,1,5,1,5,3,3,3,3,1,5,5,5,5,5,5,1,1,3,2,2,2,2,5,1,1,1,2,2,1,99999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,5,4,3,5,3,4,4,4,4,4,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,4,4,4,3,3,1,1,1,1,1,2,2,1,2,3,1,75900
3,1061,2,43200,2700,4,6,1997,6,1997,2,50,2,1,4,3,4,3,4,4,4,4,3,4,1,1,1,1,1,1,1,1,2,1,1,6,2,99999,5,5,1,5,5,1,1,1,1,1,1,1,5,1,5,3,1,5,1,1,5,5,5,5,5,5,2,1,4,4,5,5,4,5,5,1,4,1,4,1,99999,2,3,2,3,2,3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,3,3,2,3,2,3,3,3,2,2,4,5,5,4,4,5,4,4,5,4,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,3,3,0,1,1,0,1,1,9,4,4,4,3,3,1,1,2,2,1,1,1,1,4,3,1,45180
