FUPREL97,FUPID97,FUPSN97,WEEKDAY,WDTDMON,WDTDDAY,WDTDYR,WDIWMON,WDIWDAY,WDIWYR,WD_DAY,WD_A1,WD_A2,WD_SAQ,WD_FTF,WD_PHONE,WEEKEND,WETDMON,WETDDAY,WETDYR,WEIWMON,WEIWDAY,WEIWYR,WE_DAY,WE_A1,WE_A2,WE_SAQ,WE_FTF,WE_PHONE
3,2732,3,1,3,22,1997,3,22,1997,5,1,2,5,5,1,1,3,27,1997,3,27,1997,7,1,1,5,1,5
3,2732,4,1,3,22,1997,3,22,1997,5,1,1,5,5,1,1,3,27,1997,3,27,1997,7,1,1,5,1,5
3,4601,4,1,5,7,1997,5,8,1997,3,1,3,5,5,1,1,5,10,1997,5,10,1997,6,1,3,5,5,1
3,5905,3,1,10,12,1997,10,12,1997,3,1,2,5,5,1,1,10,12,1997,10,12,1997,6,1,2,5,5,1
3,1273,3,1,3,18,1997,3,17,1997,2,1,2,1,5,1,1,3,15,1997,3,17,1997,6,1,2,5,1,5
3,1273,4,1,3,18,1997,3,17,1997,2,1,2,1,5,1,1,3,15,1997,3,17,1997,6,1,2,5,1,5
3,475,3,1,3,14,1997,3,16,1997,5,1,2,5,1,5,1,3,15,1997,3,16,1997,6,1,2,5,1,5
3,475,4,1,3,14,1997,3,16,1997,5,2,2,5,1,5,1,3,15,1997,3,16,1997,6,1,2,5,1,5
3,228,3,1,5,20,1997,5,22,1997,2,1,5,1,1,1,1,5,17,1997,5,22,1997,6,1,5,1,1,1
3,228,4,1,5,20,1997,5,22,1997,2,1,5,1,1,1,1,5,17,1997,5,22,1997,6,1,5,1,1,1
3,2696,2,1,4,11,1997,4,11,1997,2,1,1,5,1,5,1,4,12,1997,4,12,1997,6,1,1,1,5,5
3,3378,4,1,4,25,1997,4,25,1997,4,3,5,5,5,1,1,4,9,1997,4,9,1997,6,3,2,5,5,1
3,5033,3,1,5,13,1997,5,15,1997,2,2,2,1,1,5,1,5,11,1997,5,15,1997,7,1,1,1,1,5
3,5033,4,1,5,13,1997,5,15,1997,2,2,2,1,1,5,1,5,11,1997,5,15,1997,7,1,1,9,9,9
3,3530,5,1,6,17,1997,6,20,1997,2,1,1,5,5,1,1,6,21,1997,6,25,1997,6,1,5,5,5,1
3,5034,4,1,5,14,1997,5,15,1997,3,1,1,1,1,5,1,5,10,1997,5,15,1997,6,1,1,1,1,5
3,4739,5,1,5,13,1997,5,14,1997,2,1,3,1,5,5,1,5,11,1997,5,14,1997,7,1,4,9,9,9
3,457,3,1,4,2,1997,4,3,1997,3,1,4,1,5,1,1,3,30,1997,4,3,1997,7,1,3,1,5,1
3,457,4,1,4,2,1997,4,3,1997,3,1,2,1,5,1,1,3,30,1997,4,3,1997,7,1,5,1,5,1
3,5104,3,1,5,14,1997,5,17,1997,3,1,1,1,5,5,1,5,12,1997,5,17,1997,6,1,3,1,5,5
3,5104,5,1,5,14,1997,5,17,1997,3,1,1,1,5,5,1,5,12,1997,5,17,1997,6,1,3,1,5,5
3,1460,3,1,6,24,1997,6,25,1997,2,1,2,5,5,1,1,6,28,1997,6,30,1997,6,1,3,1,5,5
3,2817,3,1,4,30,1997,5,3,1997,3,1,1,5,5,1,1,5,4,1997,5,5,1997,7,4,1,5,1,5
3,3189,4,1,99,99,9999,4,20,1997,4,9,9,5,5,1,1,99,99,9999,4,22,1997,7,9,9,5,5,1
3,1359,2,1,4,2,1997,99,99,9999,3,4,2,1,5,5,1,3,20,1997,99,99,9999,6,9,3,1,5,5
3,1837,3,1,3,20,1997,3,22,1997,3,1,1,1,5,5,1,3,15,1997,3,22,1997,6,1,1,1,5,5
3,1837,4,1,3,20,1997,3,22,1997,3,1,9,1,5,5,1,3,15,1997,3,22,1997,6,1,1,1,5,5
3,3876,3,1,9,15,1997,9,17,1997,1,1,1,1,1,5,1,9,13,1997,9,17,1997,6,1,1,1,1,5
3,3876,4,1,9,15,1997,9,17,1997,1,1,1,1,1,5,1,9,13,1997,9,17,1997,6,1,1,1,1,5
3,3906,3,1,9,22,1997,9,24,1997,1,4,3,1,1,5,1,9,20,1997,9,24,1997,6,2,2,9,9,9
3,5546,3,1,6,10,1997,6,11,1997,2,1,3,1,1,5,1,6,10,1997,6,11,1997,6,1,4,1,1,5
3,1174,3,1,4,22,1997,4,99,1997,2,1,5,1,1,1,1,4,27,1997,4,30,1997,7,1,5,1,1,5
3,674,3,1,6,10,1997,6,11,1997,2,1,4,9,9,9,1,6,7,1997,6,11,1997,6,1,1,1,5,5
3,674,4,1,6,10,1997,6,11,1997,2,1,3,1,5,5,1,6,7,1997,6,11,1997,6,1,1,1,5,5
3,3348,3,1,5,5,1997,5,6,1997,1,4,2,1,5,5,1,5,4,1997,5,6,1997,7,4,3,1,5,5
3,3348,4,1,5,5,1997,5,6,1997,1,4,2,1,5,5,1,5,4,1997,5,6,1997,7,4,4,1,5,5
3,1503,4,1,4,21,1997,4,23,1997,1,4,4,1,5,5,1,4,20,1997,4,23,1997,7,4,2,1,5,5
3,1503,5,1,4,21,1997,4,23,1997,1,4,4,1,5,5,1,4,20,1997,4,23,1997,7,4,2,1,5,5
3,4750,3,1,6,20,1997,6,23,1997,5,1,3,1,5,1,1,6,22,1997,6,23,1997,7,1,3,1,5,1
3,21,3,1,3,13,1997,3,15,1997,4,1,1,5,1,5,1,3,9,1997,3,15,1997,7,1,1,1,1,5
3,21,4,1,3,15,1997,3,15,1997,4,1,1,1,1,5,1,3,15,1997,3,15,1997,7,1,1,1,1,5
3,4006,2,1,4,1,1997,4,4,1997,2,1,5,9,9,9,1,3,29,1997,3,31,1997,6,1,1,5,1,5
3,4006,3,1,4,1,1997,4,4,1997,2,1,5,1,1,5,1,3,29,1997,4,4,1997,6,1,1,1,1,5
3,2925,4,1,4,22,1997,4,22,1997,2,3,3,5,1,5,1,4,20,1997,4,22,1997,7,3,2,5,1,5
3,97,4,1,4,3,1997,4,4,1997,4,3,5,1,5,5,1,3,30,1997,4,4,1997,7,2,5,1,5,5
3,3368,3,1,4,21,1997,4,24,1997,1,3,1,5,1,5,1,4,20,1997,4,24,1997,7,3,1,5,1,5
3,1962,3,1,4,28,1997,4,28,1997,1,1,2,5,1,5,1,4,28,1997,4,28,1997,6,1,2,5,1,5
