FOHHRL97,FOHHID97,FOHHSN97,Q8A0,Q8A1,Q8A2,Q8A2A,Q8A3,Q8A4,Q8A4A,Q8OCC,Q8IND,Q8A8,Q8A8A,Q8A9,Q8A10,Q8A11,Q8A11A,Q8A11B,Q8A12M,Q8A12Y,Q8B0,Q8B1,Q8B2,Q8B3,Q8B4_1ST,Q8B4_2ND,Q8B4_3RD,Q8B4_4TH,Q8B5,Q8B6,Q8B7,Q8B8A,Q8B8B,Q8B8C,Q8B8D,Q8B9A,Q8B9B,Q8B9C,Q8B10,Q8B11,Q8B12,Q8B13A,Q8B13B,Q8B13C,Q8B13D,Q8B13E,Q8B13F,Q8B13G,Q8B13H,Q8B13I,Q8B14A,Q8B14B,Q8B14C,Q8B14D,Q8C1A,Q8C1B,Q8C1C,Q8C1D,Q8C1E,Q8C1F,Q8C1G,Q8C1H,Q8C1I,Q8C1J,Q8C1K,Q8C1L,Q8C1M,Q8C1N,Q8C1O,Q8C1P,Q8C1Q,Q8C1R,Q8C1S,Q8C1T,Q8C1U,Q8C1V,Q8C1W,Q8C1X,Q8C1Y,Q8C1Z,Q8C1AA,Q8C1BB,Q8C1CC,Q8C2A,Q8C2B,Q8C2C,Q8C2D,Q8C2E,Q8C2F,Q8C2G,Q8C2H,Q8C2I,Q8C2J,Q8C3A,Q8C3B,Q8C3C,Q8C3D,Q8C3E,Q8C3F,Q8C3G,Q8C4,Q8C5MO,Q8C5TU,Q8C5WE,Q8C5TH,Q8C5FR,Q8C5SA,Q8C5SU,Q8C5A,Q8C6,Q8C7MO,Q8C7TU,Q8C7WE,Q8C7TH,Q8C7FR,Q8C7SA,Q8C7SU,Q8C7A,Q8C8,Q8C9MO,Q8C9TU,Q8C9WE,Q8C9TH,Q8C9FR,Q8C9SA,Q8C9SU,Q8C9A,Q8C10
2,1469,3,39000,3,1,4,9,7,5,0,0,0,0,0,9000,0,0,0,6,1949,39120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39120
2,2752,2,73800,3,5,0,16,1,0,233,537,75000,6,60,85000,0,0,0,1,1949,99999,2,3,4,3,5,1,4,1,2,1,4,1,1,2,1,1,5,2,1,2,4,4,4,1,1,3,4,4,3,4,5,1,4,4,2,3,1,2,2,2,3,3,3,3,2,2,2,4,1,1,4,4,1,3,1,4,1,1,2,2,3,2,5,4,5,5,3,4,4,4,4,5,1,5,5,0,5,1,5,1,1,1,1,1,1,1,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,75900
2,5558,3,76680,5,1,1,12,1,0,441,379,400,3,32,999998,1,0,2,9,1974,99999,2,2,2,5,3,1,4,2,2,1,4,2,2,3,1,1,5,3,1,2,1,1,5,1,3,3,3,2,4,5,1,1,1,3,1,3,3,3,4,1,2,2,4,3,3,1,3,4,2,3,3,4,1,1,1,4,1,1,3,1,3,2,3,5,5,5,3,3,4,3,4,5,1,1,5,0,5,5,5,1,5,5,5,1,1,1,5,10,1,1,1,1,1,1,5,5,7,2,0,0,0,0,0,0,0,0,77880
2,4764,2,72720,1,1,2,11,1,0,534,69,999999,9,72,999998,5,1,0,4,1965,72960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72960
2,4764,3,73380,3,5,0,14,8,5,0,0,0,0,0,13000,0,0,0,7,1968,99999,2,3,3,5,1,3,4,1,1,1,1,5,3,1,1,1,1,2,1,2,4,2,5,1,1,1,3,5,1,1,1,1,1,4,1,4,4,4,4,1,1,2,1,1,4,1,2,3,1,1,4,4,2,1,1,4,1,1,2,1,3,1,5,3,5,5,3,3,3,1,3,3,5,5,5,5,1,5,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,74580
2,4762,4,72900,3,5,0,16,1,0,282,568,60000,6,55,75000,0,0,0,12,1947,99999,2,3,3,3,5,4,1,1,2,1,2,1,2,2,1,5,5,3,1,2,2,1,4,4,2,4,4,2,2,4,1,2,1,3,2,3,3,3,3,2,2,3,2,3,2,1,3,4,1,3,2,3,1,2,1,4,1,1,4,1,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,0,5,1,1,1,1,1,1,1,1,5,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,73800
2,3660,2,62400,5,5,0,10,1,0,822,17,180,3,35,12000,0,0,0,3,1976,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000
2,1950,3,58800,3,1,2,12,1,0,690,667,10,1,44,31500,0,0,0,3,1957,99999,2,2,1,4,3,5,2,2,2,2,2,2,1,2,5,1,5,5,2,2,4,4,4,4,4,4,3,2,2,4,4,4,2,3,2,3,3,3,3,2,3,2,2,2,2,2,3,3,2,2,3,3,2,3,1,3,1,1,3,2,3,2,5,5,5,5,5,5,5,5,5,5,1,5,5,0,5,1,5,1,1,1,1,1,1,5,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,59700
2,619,2,65700,5,5,0,14,1,0,753,999,6,1,35,12000,0,0,0,8,1976,99999,2,2,1,1,4,5,3,1,1,1,3,1,1,2,1,5,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,3,3,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,1,2,2,2,2,2,3,3,4,4,5,5,4,5,4,3,4,5,1,5,5,0,1,5,5,1,1,1,1,1,1,5,5,6.5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,66600
2,5064,4,48900,1,1,6,8,3,5,0,0,0,0,0,7000,0,0,0,8,1959,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49500
