ID_1997,SN_1997,weekly_avg_hrs_cat_3901_97,weekly_avg_hrs_cat_3902_97,weekly_avg_hrs_cat_3903_97,weekly_avg_hrs_cat_3904_97,weekly_avg_hrs_cat_3905_97,weekly_avg_hrs_cat_3906_97,weekly_avg_hrs_cat_3907_97,weekly_avg_hrs_cat_3908_97,weekly_avg_hrs_cat_3909_97,weekly_avg_hrs_cat_3910_97,weekly_avg_hrs_cat_3911_97,weekly_avg_hrs_cat_3912_97,weekly_avg_hrs_cat_3913_97,weekly_avg_hrs_cat_3914_97,weekly_avg_hrs_cat_3915_97,weekly_avg_hrs_cat_3916_97,weekly_avg_hrs_cat_3917_97,weekly_avg_hrs_cat_3918_97,weekly_avg_hrs_cat_3919_97,weekly_avg_hrs_cat_3920_97,weekly_avg_hrs_cat_3921_97,weekly_avg_hrs_cat_3923_97,weekly_avg_hrs_cat_3924_97,weekly_avg_hrs_cat_3925_97,weekly_avg_hrs_cat_3926_97,weekly_avg_hrs_cat_3927_97,weekly_avg_hrs_cat_3928_97,weekly_avg_hrs_cat_3929_97,weekly_avg_hrs_cat_3930_97,weekly_avg_hrs_cat_3931_97,weekly_avg_hrs_cat_3932_97,weekly_avg_hrs_cat_3933_97,weekly_avg_hrs_cat_3934_97,weekly_avg_hrs_cat_3935_97,weekly_avg_hrs_cat_3936_97,weekly_avg_hrs_cat_3937_97,weekly_avg_hrs_cat_3938_97,weekly_avg_hrs_cat_3939_97,parent_interactive_skill_hrs_wk_97
28,3,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,90.45,0.0,20.983333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.916666666666667,0.0,0.0,3.75,0.0,18.4,15.0,10.833333333333334,0.0
28,4,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,95.08333333333333,0.0,22.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.916666666666667,0.0,0.0,0.0,0.0,29.166666666666668,2.5,10.5,0.0
31,3,0.0,12.083333333333334,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,73.41666666666667,0.0,4.333333333333333,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083333333333334,13.416666666666666,0.0,0.0
31,4,0.0,4.0,0.0,0.0,1.25,0.0,0.0,0.0,70.91666666666667,0.0,4.333333333333333,0.0,42.083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.916666666666666,29.5,0.0,0.0
37,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.83333333333333,0.0,0.0,7.5,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.916666666666666,0.0,0.0
37,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,0.0,1.25,0.0,41.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.0
38,2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,73.75,0.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,21.75,0.0,0.0
39,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,81.33333333333333,0.0,0.0,0.0,52.083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,14.416666666666666,14.833333333333334,0.0,0.0
39,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.41666666666667,0.0,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,0.0,0.0,0.0,0.0,41.416666666666664,0.0,3.8333333333333335,0.0
40,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.75,0.0,6.333333333333333,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.333333333333332,0.0,0.0,0.0,1.6666666666666667,0.0,2.8333333333333335,21.583333333333332,0.0,0.0
40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,73.75,0.0,13.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.4166666666666667,0.0,16.25,17.666666666666668,10.833333333333334,0.0
44,3,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,9.333333333333334,69.91666666666667,0.0,6.016666666666667,0.0,43.666666666666664,0.0,3.2666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,13.833333333333334,16.166666666666668,0.0,0.0
45,2,0.0,0.0,0.0,1.0,0.0,0.0,4.5,2.1666666666666665,59.75,0.0,8.583333333333334,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,18.25,28.5,0.0,0.0
45,3,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.1666666666666665,69.16666666666667,0.0,4.5,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,39.166666666666664,0.0,0.0
