DEMREL02,DEMID01,DEMSN01,RELPCG02,RELOCG02,SIBIND02,CH02PRWT,PCGRES02,OCGRES02,ASMRES02,CHRES02,TDRES02,CCDRES02,EMSRES02,IWER02,SBLNUM03,SBLNUM01,BIOPR03,BIOPR01,BIOGPR03,BIOGPR01,PCGEMS02
6,3,2,4,0,1,4.1680002,1,0,1,1,5,1,1,2003,2,3,3,2,2,2,1
6,3,3,1,0,1,4.1030002,1,0,1,1,1,1,1,2003,3,3,2,2,2,2,1
6,24,2,1,0,1,3.7980001,1,0,1,1,1,1,5,2082,1,1,2,2,2,2,1
6,24,3,1,0,1,3.8699999,1,0,1,1,1,1,0,2082,1,1,2,2,2,2,0
6,29,3,1,4,5,52.724998,1,1,1,1,1,0,0,2060,96,96,1,1,0,0,0
6,32,3,1,5,1,10.95,1,1,1,1,1,0,0,2043,3,3,2,2,2,2,0
6,32,4,1,5,1,11.03,1,1,1,1,1,0,5,2043,3,3,2,2,2,2,1
6,59,3,1,0,5,23.089001,1,0,1,0,1,1,1,2092,2,1,2,2,2,2,1
6,60,4,1,0,1,26.094,1,0,5,5,1,5,5,2014,2,2,2,1,2,2,1
6,60,5,1,0,1,25.931999,1,0,5,5,1,1,1,2014,2,2,2,1,2,2,1
6,61,2,1,8,5,26.514999,1,1,1,5,1,1,1,2007,2,2,2,2,2,2,1
6,65,5,1,4,5,2.277,1,1,1,1,1,1,0,2105,1,2,1,1,2,2,0
6,76,3,1,7,5,41.138,1,5,1,0,1,1,1,2091,1,0,2,2,2,2,1
6,79,2,1,0,5,43.297001,1,0,1,1,1,1,0,2091,96,96,2,2,2,2,0
6,88,3,1,5,1,24.429001,1,5,5,5,5,5,0,2028,1,1,2,2,0,0,0
6,88,4,1,5,1,23.691,1,5,5,5,5,5,0,2028,1,1,2,2,0,0,0
6,91,3,1,4,1,13.453,1,1,1,1,1,1,0,2070,1,1,1,1,0,0,0
6,91,4,1,4,1,13.423,1,1,1,1,1,1,5,2070,1,1,1,1,0,0,1
6,96,3,7,8,5,23.68,1,1,1,1,1,0,0,2058,96,96,4,4,1,1,0
6,105,4,1,4,1,13.058,1,1,1,1,1,1,0,2094,2,2,1,1,0,0,0
6,105,5,1,4,1,12.631,1,1,1,1,1,1,5,2094,2,2,1,1,0,0,1
6,114,3,1,5,5,3.5,1,1,1,1,1,1,1,2091,2,0,2,2,2,2,1
6,115,3,1,4,5,22.440001,1,1,1,1,1,0,0,2088,0,0,1,1,2,2,0
6,125,4,1,4,1,22.257,1,1,1,1,1,1,0,2044,9,1,1,1,2,2,0
6,126,5,1,4,5,9.6709995,1,1,1,5,1,1,1,2013,2,2,1,1,2,2,1
6,134,3,1,4,5,13.728,1,1,1,5,1,1,1,2018,0,0,1,1,2,2,1
6,136,3,1,4,1,20.148001,1,5,1,1,1,1,0,2088,1,1,2,1,2,2,0
6,136,4,1,4,1,19.865999,1,5,1,1,1,1,0,2088,1,1,2,1,2,2,0
6,138,4,1,0,5,44.667999,1,0,1,1,1,1,0,2001,96,1,2,2,2,2,0
6,139,5,1,4,5,22.452,1,1,1,1,1,1,0,2067,2,2,1,1,2,2,0
6,152,2,15,2,1,2.6159999,1,1,1,1,1,1,0,2063,96,96,0,0,0,0,0
6,152,3,15,2,1,3.7609999,1,1,1,1,1,1,0,2063,1,1,3,3,0,0,0
6,154,4,1,4,5,3.934,1,1,1,1,1,1,0,2063,9,1,1,1,2,2,0
6,163,2,1,5,5,55.778,1,1,1,1,1,0,0,2034,10,0,6,4,4,1,0
6,171,3,1,4,5,7.1810002,1,1,1,0,1,1,5,2112,1,1,1,1,2,2,1
6,178,3,1,0,5,13.228,1,0,1,0,1,1,5,2091,0,0,2,1,2,2,1
6,188,4,1,4,5,12.103,1,1,1,1,1,1,0,2016,1,1,1,1,0,0,0
6,190,3,1,4,1,41.560001,1,1,1,1,1,5,0,2080,1,1,1,1,2,2,9
6,190,4,1,4,1,41.083,1,1,1,1,1,5,0,2080,1,1,1,1,2,2,9
6,216,3,3,4,5,17.629,1,1,1,1,1,1,0,2093,0,0,3,3,2,2,0
6,218,3,1,4,1,34.654999,1,1,1,1,1,1,1,2107,2,2,1,1,2,2,1
6,218,5,1,4,1,34.383999,1,1,1,0,1,1,1,2107,2,2,1,1,2,2,1
6,226,3,1,4,5,19.141001,1,1,1,1,1,1,1,2006,0,0,1,1,2,2,1
6,235,3,1,5,1,34.928001,1,1,1,1,1,1,1,2055,2,2,2,2,2,2,1
6,235,4,1,5,1,10.74,1,1,1,1,1,1,0,2055,2,2,2,2,2,2,0
6,243,3,1,4,5,36.143002,1,1,1,1,1,1,0,2095,96,96,1,1,0,0,0
6,257,3,1,0,1,8.0459995,1,0,1,1,5,1,0,2026,2,2,2,2,2,2,0
6,257,4,1,0,1,8.0609999,1,0,1,1,5,1,5,2026,2,2,2,2,2,2,1
6,260,3,1,4,1,38.686001,1,1,1,1,1,1,0,2080,1,1,1,1,2,2,0
6,260,4,1,4,1,37.917,1,1,1,1,1,1,0,2080,1,1,1,1,2,2,0
6,262,3,4,1,5,46.404999,1,1,1,1,1,0,0,2048,96,96,1,1,0,0,0
6,277,3,1,4,1,17.893,1,1,1,1,1,0,5,2086,1,1,1,1,2,2,1
6,277,4,1,4,1,17.632,1,1,1,5,1,0,0,2086,1,1,1,1,2,2,0
6,283,4,1,5,1,16.128,1,1,5,5,1,5,0,2023,2,2,2,2,0,0,5
6,283,5,1,5,1,15.439,1,1,5,5,1,5,0,2023,2,2,2,2,0,0,5
6,285,3,1,0,1,26.076,1,0,1,1,5,1,1,2002,1,1,1,1,2,2,1
6,285,4,1,0,1,25.988001,1,0,1,5,5,1,5,2002,1,1,1,1,2,2,1
6,288,3,1,5,1,5.6900001,1,1,1,1,1,1,0,2108,3,3,2,2,2,2,0
6,288,4,1,5,1,5.8249998,1,1,1,1,1,1,1,2108,3,3,2,2,2,2,1
6,301,5,4,1,1,32.02,1,1,1,1,1,1,0,2094,2,3,1,1,0,0,0
6,301,6,4,1,1,31.152,1,1,1,1,1,1,1,2094,2,3,1,1,0,0,1
6,303,3,1,0,1,15.509,1,0,5,5,5,5,5,2046,1,1,2,1,0,0,1
6,303,4,1,0,1,15.509,1,0,5,0,5,5,1,2046,1,1,2,1,0,0,1
6,309,3,1,4,1,28.242001,1,1,1,1,1,1,0,2057,3,3,1,1,2,2,0
6,309,4,1,4,1,20.775,1,1,1,1,1,1,1,2057,3,3,1,1,2,2,1
6,318,3,1,4,5,13.46,1,1,1,1,1,1,0,2013,0,0,1,1,2,2,0
6,323,3,1,4,1,23.194,1,1,5,5,1,0,0,2092,1,1,1,1,2,2,0
6,323,4,1,4,1,22.898001,1,1,5,5,1,0,0,2092,1,1,1,1,2,2,5
6,333,3,1,0,1,21.625,1,0,1,1,1,1,0,2097,3,2,2,2,0,0,0
6,333,4,1,0,1,21.129999,1,0,1,1,1,1,0,2097,3,2,2,2,0,0,0
6,354,4,1,4,5,21.357,1,1,1,1,1,1,0,2035,1,1,1,1,2,2,0
6,359,3,1,4,1,18.858,1,1,1,1,1,0,0,2095,2,1,1,1,2,2,0
6,359,4,1,4,1,18.052,1,1,1,1,1,1,1,2095,2,1,1,1,2,2,1
6,361,3,1,4,5,17.995001,1,5,1,1,1,0,0,2006,0,0,1,1,2,2,0
6,366,3,1,4,1,19.49,1,1,1,1,1,1,0,2079,1,1,1,1,2,2,0
6,366,4,1,4,1,19.441999,1,1,1,1,1,1,5,2079,1,1,1,1,2,2,1
6,368,4,1,4,1,55.077,1,1,1,1,1,1,0,2090,2,2,1,1,0,0,0
6,368,5,1,4,1,55.348999,1,1,1,1,1,1,1,2090,2,2,1,1,0,0,1
6,370,4,1,0,5,36.661999,1,0,5,5,5,0,0,2086,96,2,4,2,2,2,5
6,378,3,1,4,5,16.629,1,1,1,1,1,1,0,2096,96,96,1,1,2,2,0
6,385,2,1,0,5,55.703999,1,0,1,1,1,1,1,2018,0,0,2,2,2,2,1
6,387,3,1,5,1,20.629,1,1,1,1,1,1,0,2056,96,1,4,2,0,2,0
6,387,4,1,5,1,20.799,1,1,1,1,1,1,0,2056,96,1,2,2,0,2,0
6,391,5,1,0,1,25.676001,1,0,5,5,5,5,0,2023,9,2,2,1,2,2,5
6,392,3,1,4,5,25.205,1,1,1,1,1,1,0,2073,1,1,1,1,2,2,0
6,395,3,4,1,1,20.278,1,1,1,1,1,1,1,2010,1,1,1,1,2,2,1
6,395,4,4,1,1,19.858999,1,1,1,5,1,1,1,2010,1,1,1,1,2,2,1
6,409,3,1,0,5,22.514999,1,0,1,0,1,1,5,2030,2,2,2,2,2,2,1
6,414,4,1,4,1,31.68,1,1,1,1,1,1,0,2075,2,2,1,1,0,0,0
6,414,5,1,4,1,31.375,1,1,1,1,1,1,5,2075,2,2,1,1,0,0,1
6,415,4,1,4,1,18.539,1,1,1,1,1,1,0,2084,2,2,1,1,0,0,0
6,415,5,1,4,1,18.413,1,1,1,1,1,1,0,2084,2,2,1,1,0,0,0
6,419,4,1,4,5,16.961,1,1,1,1,1,1,0,2112,1,1,1,1,0,0,0
6,421,2,1,0,5,28.596001,1,0,1,1,1,5,0,2086,96,96,2,2,2,2,0
6,430,3,1,4,1,24.377001,1,1,1,5,1,0,5,2092,3,2,1,1,2,2,1
6,430,4,1,4,1,24.468,1,1,1,0,1,0,1,2092,3,2,1,1,2,2,1
6,446,3,1,4,1,22.045,1,5,5,5,5,0,0,2082,1,1,1,1,2,2,5
6,446,4,1,4,1,21.681999,1,5,5,5,5,0,0,2082,1,1,1,1,2,2,5
6,447,3,1,4,1,46.682999,1,1,1,1,1,1,0,2026,1,1,1,1,2,2,0
6,447,4,1,6,1,47.716999,1,1,1,1,1,0,0,2026,1,1,2,2,2,2,0
6,460,3,7,8,5,5.8169999,1,5,1,1,1,0,0,2116,0,0,4,4,2,2,0
6,466,3,1,4,5,12.121,1,1,1,1,1,1,0,2103,96,96,1,1,2,2,0
6,472,3,1,4,5,49.501999,1,1,1,1,1,1,5,2005,2,2,1,1,2,2,1
6,475,3,4,1,5,18.811001,1,5,5,5,5,5,0,2007,0,0,1,1,2,2,0
6,478,3,1,4,1,12.5,1,1,1,1,1,1,1,2054,1,1,1,1,2,2,1
6,478,4,1,4,1,12.293,1,1,1,0,1,1,1,2054,1,1,1,1,2,2,1
6,482,3,1,4,5,29.57,1,1,1,1,1,1,0,2014,96,96,1,1,2,2,0
6,484,3,1,4,5,15.313,1,1,1,5,1,1,1,2081,1,1,1,1,0,0,1
6,488,3,1,4,5,29.747,1,1,1,1,1,0,1,2030,0,0,1,1,2,2,1
6,491,3,1,4,5,21.158001,1,1,1,1,1,1,0,2002,0,0,1,1,2,2,0
6,494,3,3,6,1,31.499001,1,1,1,1,1,1,1,2055,0,0,4,4,0,0,1
6,494,4,1,4,1,30.690001,1,1,1,0,1,1,5,2055,0,0,1,1,2,2,1
6,497,2,1,0,5,24.216,1,0,1,1,1,1,0,2068,2,2,2,2,2,2,0
6,500,2,4,0,5,26.597,1,0,1,1,1,1,0,2028,2,0,3,3,2,2,0
6,501,3,1,4,1,13.139,1,1,1,1,1,1,1,2028,1,1,1,1,2,2,1
6,501,4,1,4,1,12.962,1,1,1,5,1,1,1,2028,1,1,1,1,2,2,1
6,503,4,1,4,5,20.707001,1,1,1,1,1,5,0,2086,1,1,1,1,2,2,0
6,510,3,3,0,1,23.971001,1,0,1,5,1,5,0,2086,0,0,4,4,0,0,0
6,520,5,1,4,1,24.131001,1,1,1,1,1,1,0,2013,1,2,1,1,2,2,0
6,527,4,1,4,5,31.683001,1,1,1,1,1,1,0,2004,1,1,1,1,0,0,0
6,533,4,1,4,5,17.798,1,1,1,0,1,1,1,2067,2,2,1,1,2,2,1
6,538,2,13,15,5,50.431,1,5,1,1,1,1,0,2056,0,0,4,4,0,0,0
6,543,4,1,4,5,26.443001,1,1,1,1,1,0,0,2070,96,1,4,1,2,2,0
6,547,4,1,4,1,18.306,1,1,1,0,1,1,5,2049,3,4,1,1,2,2,1
6,547,5,1,4,1,18.115,1,1,1,0,1,1,5,2049,3,4,1,1,2,2,1
6,549,5,1,4,1,12.879,1,1,1,5,1,1,5,2099,3,3,1,1,2,2,1
6,549,6,1,4,1,12.879,1,1,1,0,1,1,1,2099,3,3,1,1,2,2,1
6,558,4,1,0,5,63.893002,1,0,1,1,1,1,5,2115,2,2,2,2,0,0,1
6,572,3,1,4,1,36.395,1,1,1,1,1,1,5,2097,3,3,1,1,2,2,1
6,572,5,1,4,1,36.053001,1,1,1,0,1,1,5,2097,3,3,1,1,2,2,1
6,580,3,1,4,1,25.513,1,1,1,1,1,1,0,2028,1,1,1,1,2,2,0
6,580,4,1,4,1,25.389,1,1,1,1,1,1,0,2028,1,1,1,1,2,2,0
6,586,3,1,4,5,63.889,1,5,1,1,5,1,0,2046,96,96,1,1,0,0,0
6,588,3,1,4,1,23.749001,1,1,1,1,1,1,1,2054,1,1,1,1,2,2,1
6,588,4,1,4,1,23.799999,1,1,1,0,1,1,1,2054,1,1,1,1,2,2,1
6,591,3,4,2,5,20.327999,1,1,1,1,1,1,0,2098,0,9,3,3,0,0,0
6,594,3,1,4,1,18.698,1,1,1,1,1,0,1,2046,1,1,1,1,2,2,1
6,594,4,1,4,1,18.525,1,1,1,5,1,0,1,2046,1,1,1,1,2,2,1
6,596,4,1,4,1,32.925999,1,5,1,1,5,1,0,2086,2,3,1,1,2,2,0
6,596,6,1,4,1,31.57,1,5,1,1,5,1,0,2086,2,3,1,1,2,2,0
6,598,2,1,0,5,15.794,1,0,1,1,1,1,0,2004,9,9,2,2,2,2,0
6,601,3,1,19,5,21.718,1,1,1,0,1,1,5,2086,2,1,2,2,2,2,1
6,602,3,1,4,5,17.57,1,1,1,0,1,1,1,2086,2,1,1,1,2,2,1
6,603,4,4,2,1,15.968,1,1,1,1,1,1,0,2033,1,2,3,3,2,2,0
6,603,5,4,2,1,15.503,1,1,1,1,1,1,0,2033,1,2,3,3,2,2,0
6,604,4,1,4,5,17.577999,1,1,1,1,1,1,0,2035,2,1,1,1,2,2,0
6,606,4,1,4,1,41.629002,1,1,1,1,1,1,0,2096,2,2,1,1,2,2,0
6,606,5,1,4,1,41.487999,1,1,1,1,1,1,0,2096,2,2,1,1,2,2,0
6,613,3,3,6,5,33.229,1,1,1,0,1,1,1,2004,0,0,4,4,0,0,1
6,615,2,1,0,1,10.729,1,0,1,1,1,0,0,2028,1,1,2,2,2,2,0
6,615,3,1,0,1,10.811,1,0,1,1,1,1,0,2028,1,1,2,2,2,2,0
6,616,2,1,5,1,26.795,1,1,1,1,1,1,0,2035,1,1,2,2,2,2,0
6,616,3,1,5,1,26.044001,1,1,1,1,1,1,0,2035,1,1,2,2,2,2,0
6,620,4,1,4,1,43.542,1,5,5,5,5,5,0,2028,2,2,1,1,2,2,5
6,620,5,1,4,1,42.360001,1,5,5,5,5,5,0,2028,2,2,1,1,2,2,5
6,621,4,1,4,5,4.625,1,1,1,5,1,1,5,2009,1,1,1,1,2,2,1
6,631,3,4,1,1,23.35,1,5,1,1,5,1,0,2028,1,1,1,1,0,0,0
6,631,4,4,1,1,23.283001,1,5,1,1,5,1,0,2028,1,1,1,1,0,0,0
6,632,2,1,0,5,22.816,1,0,1,1,1,0,1,2061,0,0,2,2,0,0,1
6,657,6,1,4,1,16.943001,1,1,1,1,1,1,0,2010,3,4,1,1,2,2,0
6,657,7,1,4,1,16.337,1,1,1,5,1,1,5,2010,3,4,1,1,2,2,1
6,658,2,1,0,5,59.706001,1,0,5,5,5,0,0,2089,0,0,4,3,0,0,5
6,659,4,1,4,5,21.613001,1,1,1,1,1,1,1,2072,1,1,1,1,2,2,1
6,663,2,1,5,5,61.084,1,5,1,1,1,1,0,2086,1,1,2,2,2,2,0
6,664,2,4,0,5,42.580002,1,0,1,1,1,0,0,2086,1,0,3,4,0,0,0
6,672,3,1,4,5,26.285999,1,1,1,5,1,1,5,2017,1,1,1,1,2,2,1
6,673,3,1,4,1,24.364,1,1,1,1,1,1,0,2095,1,1,1,1,2,2,0
6,673,4,1,4,1,23.754,1,1,1,1,1,1,0,2095,1,1,1,1,2,2,0
6,676,3,1,4,1,42.905998,1,1,1,1,1,1,1,2009,2,2,1,1,2,2,1
6,676,4,1,4,1,42.438,1,1,1,0,1,1,1,2009,2,2,1,1,2,2,1
6,680,3,1,4,5,17.959,1,1,1,1,1,1,1,2098,0,0,1,1,0,0,1
6,689,2,1,0,1,24.914,1,0,1,1,1,1,0,2097,1,1,2,2,2,2,0
6,689,3,1,0,1,24.646,1,0,1,1,1,1,1,2097,1,1,2,2,2,2,1
6,691,3,7,4,5,50.563,1,1,1,1,1,1,0,2001,0,0,3,3,1,1,0
6,692,3,1,4,1,21.09,1,5,1,1,1,5,0,2103,2,2,1,1,2,2,5
6,692,5,1,4,1,20.657,1,5,1,1,1,5,0,2103,2,2,1,1,2,2,5
6,693,5,1,4,1,51.908001,1,5,1,1,5,1,0,2046,5,5,1,1,2,2,0
6,693,7,1,4,1,50.437,1,5,1,1,5,1,1,2046,5,5,1,1,2,2,1
6,696,3,4,1,5,16.613001,1,1,1,1,1,1,5,2010,0,0,1,1,2,2,1
6,701,3,1,4,5,32.476002,1,1,1,1,1,1,5,2010,0,0,1,1,2,2,1
6,704,3,1,4,1,16.292999,1,1,1,1,1,1,0,2082,3,3,1,1,2,2,0
6,704,4,1,4,1,16.162001,1,1,1,5,1,1,1,2082,3,3,1,1,2,2,1
6,705,3,1,5,5,29.809999,1,1,1,1,1,0,0,2116,1,1,4,2,2,2,0
6,710,2,1,0,1,41.493,1,0,1,1,1,1,1,2080,1,1,2,2,0,0,1
6,710,3,1,0,1,40.761002,1,0,1,1,1,1,1,2080,1,1,2,2,0,0,1
6,716,3,1,4,5,21.320999,1,1,1,1,1,1,5,2086,1,1,1,1,2,2,1
6,717,4,1,4,5,26.607,1,5,5,5,1,5,0,2056,96,1,1,1,2,2,5
6,726,3,1,4,1,6.5549998,1,1,1,1,1,1,0,2026,2,2,1,1,2,2,0
6,726,5,1,4,1,6.448,1,1,1,1,1,1,1,2026,2,2,1,1,2,2,1
6,727,3,1,4,1,29.076,1,1,1,1,1,1,0,2037,2,2,1,1,2,2,0
6,727,5,1,4,1,28.546,1,1,1,1,1,1,0,2037,2,2,1,1,2,2,0
6,731,3,7,8,1,18.627001,1,1,1,1,1,0,5,2027,1,1,4,4,1,1,1
6,731,4,7,8,1,24.229,1,1,1,0,1,0,5,2027,1,1,4,4,1,1,1
6,733,4,1,4,1,28.076,1,1,1,1,1,0,0,2046,2,3,1,1,2,2,0
6,733,6,1,4,1,27.559,1,1,1,1,1,0,1,2046,2,3,1,1,2,2,1
6,734,3,4,1,1,13.241,1,1,1,1,1,1,1,2103,1,1,1,1,2,2,1
6,734,4,4,1,1,13.126,1,1,1,5,1,1,5,2103,1,1,1,1,2,2,1
