CHLDID02,CHLDSN02,PCGID02,PCGSN02,CDSHID02,PCGINST02,PCG68ID02,PCGPN02
727,3,727,2,129,1,174,171
727,5,727,2,129,1,174,171
731,3,731,2,130,1,2661,171
731,4,731,2,130,1,2661,171
733,4,733,2,131,1,2628,3
733,6,733,2,131,1,2628,3
734,3,734,1,132,1,2012,170
734,4,734,1,132,1,2012,170
741,5,741,2,133,1,1043,3
741,6,741,2,133,1,1043,3
742,3,742,2,134,1,1127,172
751,4,751,2,135,1,2441,5
751,5,751,2,135,1,2441,5
752,3,752,2,136,1,2441,176
753,4,753,2,137,1,1407,172
772,3,772,1,138,1,351,6
784,3,784,2,140,1,1236,172
789,3,789,2,141,1,117,30
789,4,789,2,141,1,117,30
796,3,796,2,142,1,626,3
801,3,801,2,143,1,582,173
801,4,801,2,143,1,582,173
802,3,802,2,144,1,2490,31
804,3,804,2,145,1,121,173
805,2,805,1,146,1,2335,30
815,2,815,1,147,1,3005,1
818,3,818,2,148,1,593,170
819,3,819,2,149,1,1315,4
819,4,819,2,149,1,1315,4
821,2,821,1,150,1,3033,1
823,2,823,1,151,1,2432,176
824,4,824,1,152,1,2432,35
824,5,824,1,152,1,2432,35
828,3,828,2,153,1,3387,2
832,3,832,1,154,1,5287,4
833,5,833,2,155,1,6735,5
834,3,834,2,156,1,6735,8
834,4,834,2,156,1,6735,8
837,3,837,1,157,1,6316,4
840,2,840,1,158,1,2409,171
840,4,840,1,158,1,2409,171
841,3,841,1,159,1,1185,5
841,4,841,1,159,1,1185,5
842,2,842,1,160,1,1047,4
846,2,846,1,161,1,1426,4
846,3,846,1,161,1,1426,4
851,3,851,2,162,1,1775,4
851,5,851,2,162,1,1775,4
852,5,852,2,163,1,321,5
852,6,852,2,163,1,321,5
858,3,858,2,164,1,853,3
859,4,4678,1,1215,1,2061,2
861,2,861,1,165,1,1254,170
863,3,863,2,166,1,1911,30
871,2,871,1,167,1,6365,10
871,3,871,1,167,1,6365,10
874,3,874,2,168,1,2902,174
879,4,879,2,169,1,246,3
883,3,883,2,170,1,582,174
886,2,886,1,172,1,2330,171
886,3,886,1,172,1,2330,171
887,3,887,2,173,1,1897,3
891,4,891,2,174,1,134,171
891,5,891,2,174,1,134,171
892,3,892,1,175,1,319,171
893,3,893,2,176,1,121,7
893,5,893,2,176,1,121,7
894,3,894,2,177,1,2175,170
894,4,894,2,177,1,2175,170
896,4,896,2,178,1,2427,171
896,5,896,2,178,1,2427,171
898,2,898,1,179,1,1628,4
898,3,898,1,179,1,1628,4
