GENREL02,GENID01,GENSN01,CH_ID68,CH_PN,OCG_ID68,OCG_PN,PCG_ID68,PCG_PN
3,657,6,2576,33,2576,170,2576,3
3,657,7,2576,34,2576,170,2576,3
3,658,2,1503,170,0,0,1503,901
3,659,4,544,32,544,21,544,170
3,663,2,2707,37,2707,190,2707,5
3,664,2,2707,34,0,0,2707,6
3,672,3,2610,32,2610,4,2610,173
3,673,3,1281,35,1281,4,1281,173
3,673,4,1281,36,1281,4,1281,173
3,676,3,707,30,707,3,707,171
3,676,4,707,32,707,3,707,171
3,680,3,374,30,374,170,374,5
3,689,2,1315,34,0,0,1315,5
3,689,3,1315,35,0,0,1315,5
3,691,3,2774,172,2774,6,2774,2
3,692,3,1784,33,1784,171,1784,5
3,692,5,1784,35,1784,171,1784,5
3,693,5,1663,36,1663,173,1663,5
3,693,7,1663,41,1663,173,1663,5
3,696,3,2578,180,2578,179,2578,30
3,701,3,2607,30,2607,170,2607,3
3,704,3,60,36,60,181,60,32
3,704,4,60,37,60,181,60,32
3,705,3,2478,32,2478,175,2478,4
3,710,2,138,32,0,0,138,31
3,710,3,138,33,0,0,138,31
3,716,3,1121,33,1121,30,1121,175
3,717,4,351,38,351,170,351,3
3,726,3,2473,30,2473,4,2473,170
3,726,5,2473,32,2473,4,2473,170
3,727,3,174,33,174,5,174,171
3,727,5,174,36,174,5,174,171
3,731,3,2661,43,2661,21,2661,171
3,731,4,2661,44,2661,21,2661,171
3,733,4,2628,32,2628,170,2628,3
3,733,6,2628,37,2628,170,2628,3
3,734,3,2012,32,2012,3,2012,170
3,734,4,2012,33,2012,3,2012,170
3,741,5,1043,33,0,0,1043,3
3,741,6,1043,34,0,0,1043,3
3,742,3,1127,30,0,0,1127,172
3,751,4,2441,34,0,0,2441,5
3,751,5,2441,35,0,0,2441,5
3,752,3,2441,37,2441,4,2441,176
3,753,4,1407,32,1407,3,1407,172
3,772,3,351,37,0,0,351,6
3,784,3,1236,32,1236,4,1236,172
3,789,3,117,31,117,171,117,30
3,789,4,117,32,117,171,117,30
3,796,3,626,45,626,184,626,3
3,801,3,582,32,582,3,582,173
3,801,4,582,33,582,3,582,173
3,802,3,2490,34,2490,173,2490,31
3,804,3,121,37,121,4,121,173
3,805,2,2335,32,0,0,2335,30
3,815,2,3005,2,0,0,3005,1
3,818,3,593,31,593,3,593,170
3,819,3,1315,32,1315,170,1315,4
3,819,4,1315,33,1315,170,1315,4
3,821,2,3033,2,0,0,3033,1
3,823,2,2432,48,0,0,2432,176
3,824,4,2432,52,2432,3,2432,35
3,824,5,2432,55,2432,3,2432,35
3,828,3,3387,3,3387,1,3387,2
3,832,3,5287,186,0,0,5287,4
3,833,5,6735,41,6735,171,6735,5
3,834,3,6735,42,0,0,6735,8
3,834,4,6735,44,0,0,6735,8
3,837,3,6316,31,0,0,6316,4
3,840,2,2409,33,0,0,2409,171
3,840,4,2409,175,0,0,2409,171
3,841,3,1185,32,1185,177,1185,5
3,841,4,1185,34,1185,177,1185,5
3,842,2,1047,32,1047,21,1047,4
3,846,2,1426,34,0,0,1426,4
3,846,3,1426,38,0,0,1426,4
3,851,3,1775,33,1775,175,1775,4
3,851,5,1775,35,1775,175,1775,4
3,852,5,321,176,321,174,321,5
3,852,6,321,177,321,174,321,5
3,858,3,853,30,853,174,853,3
3,859,4,2061,31,0,0,2061,2
3,861,2,1254,30,0,0,1254,170
3,863,3,1911,34,0,0,1911,30
3,871,2,6365,51,0,0,6365,10
3,871,3,6365,53,0,0,6365,10
3,874,3,2902,32,2902,4,2902,174
3,879,4,246,31,246,170,246,3
3,883,3,582,34,582,4,582,174
3,886,2,2330,31,0,0,2330,171
3,886,3,2330,32,0,0,2330,171
3,887,3,1897,30,1897,170,1897,3
3,891,4,134,30,134,3,134,171
3,891,5,134,31,134,3,134,171
3,892,3,319,31,319,173,319,171
3,893,3,121,30,121,171,121,7
3,893,5,121,36,121,171,121,7
3,894,3,2175,30,2175,3,2175,170
3,894,4,2175,31,2175,3,2175,170
3,896,4,2427,34,2427,4,2427,171
3,896,5,2427,35,2427,4,2427,171
3,898,2,1628,32,0,0,1628,4
3,898,3,1628,33,0,0,1628,4
3,907,2,2485,35,0,0,2485,176
3,918,3,2436,36,0,0,2436,170
3,919,5,1740,32,1740,3,1740,170
3,927,2,2432,38,2432,3,2432,35
3,934,2,3073,2,0,0,3073,1
3,937,3,3140,3,3140,1,3140,2
3,937,4,3140,4,3140,1,3140,2
3,938,4,3141,5,3141,1,3141,2
3,943,2,1731,31,1731,30,1731,3
3,943,3,1731,33,1731,30,1731,3
3,946,3,3159,3,3159,1,3159,2
3,946,4,3159,4,3159,1,3159,2
3,955,4,2752,32,2752,4,2752,170
3,957,3,6838,33,6838,170,6838,6
3,970,3,2656,33,2656,5,2656,171
3,970,4,2656,35,2656,5,2656,171
3,972,3,50,32,50,3,50,171
3,972,4,50,33,50,3,50,171
3,979,3,548,37,548,9,548,182
3,979,4,548,38,548,9,548,182
3,983,2,5299,40,0,0,5299,4
3,983,4,5299,47,0,0,5299,4
3,987,3,5180,32,5180,174,5180,4
3,989,2,5299,55,0,0,5299,10
3,1002,3,355,32,355,4,355,171
3,1002,4,355,33,355,4,355,171
3,1013,3,517,30,517,170,517,4
3,1013,4,517,31,517,170,517,4
3,1016,3,2752,33,2752,5,2752,172
3,1018,5,2061,32,2061,8,2061,181
3,1023,3,1221,35,0,0,1221,172
3,1023,4,1221,36,0,0,1221,172
3,1033,3,2656,34,2656,7,2656,174
3,1033,4,2656,36,2656,7,2656,174
3,1038,2,1043,37,0,0,1043,8
3,1038,3,1043,38,0,0,1043,8
3,1043,3,2485,34,2485,174,2485,173
3,1043,4,2485,36,2485,174,2485,173
3,1047,3,5299,56,0,0,5299,12
3,1047,4,5299,57,0,0,5299,12
3,1048,3,1036,31,1036,1,1036,2
3,1057,3,495,36,495,170,495,30
3,1059,3,1126,35,1126,174,1126,30
3,1059,4,1126,36,1126,174,1126,30
